location,ArrivalDate,ToDate,Date
Armenia,3/1/2020,5/31/2021,456
Czech Republic,3/1/2020,5/31/2021,456
Dominican Republic,3/1/2020,5/31/2021,456
South Africa,3/1/2020,5/31/2021,456
Luxembourg,2/29/2020,5/31/2021,457
Ireland,2/29/2020,5/31/2021,457
Monaco,2/29/2020,5/31/2021,457
Azerbaijan,2/28/2020,5/31/2021,458
Belarus,2/28/2020,5/31/2021,458
Iceland,2/28/2020,5/31/2021,458
Lithuania,2/28/2020,5/31/2021,458
Mexico,2/28/2020,5/31/2021,458
New Zealand,2/28/2020,5/31/2021,458
Denmark,2/27/2020,5/31/2021,459
Estonia,2/27/2020,5/31/2021,459
Netherlands,2/27/2020,5/31/2021,459
Nigeria,2/27/2020,5/31/2021,459
Qatar,2/27/2020,5/31/2021,459
San Marino,2/27/2020,5/31/2021,459
Brazil,2/26/2020,5/31/2021,460
Greece,2/26/2020,5/31/2021,460
Macedonia,2/26/2020,5/31/2021,460
Norway,2/26/2020,5/31/2021,460
Pakistan,2/26/2020,5/31/2021,460
Romania,2/26/2020,5/31/2021,460
Croatia,2/25/2020,5/31/2021,461
Switzerland,2/25/2020,5/31/2021,461
Afghanistan,2/24/2020,5/31/2021,462
Cuba,2/24/2020,5/31/2021,462
Oman,2/24/2020,5/31/2021,462
Iraq,2/22/2020,5/31/2021,464
Bahrain,2/21/2020,5/31/2021,465
Israel,2/21/2020,5/31/2021,465
Lebanon,2/21/2020,5/31/2021,465
Mauritius,2/21/2020,5/31/2021,465
Iran,2/19/2020,5/31/2021,467
Algeria,2/17/2020,5/31/2021,469
Ecuador,2/14/2020,5/31/2021,472
Egypt,2/14/2020,5/31/2021,472
Austria,2/8/2020,5/31/2021,478
Kuwait,2/4/2020,5/31/2021,482
Belgium,2/3/2020,5/31/2021,483
Italy,1/31/2020,5/31/2021,486
Russia,1/31/2020,5/31/2021,486
Spain,1/31/2020,5/31/2021,486
United Kingdom,1/31/2020,5/31/2021,486
India,1/30/2020,5/31/2021,487
Philippines,1/30/2020,5/31/2021,487
United Arab Emirates,1/29/2020,5/31/2021,488
Finland,1/28/2020,5/31/2021,489
Cambodia,1/27/2020,5/31/2021,490
Germany,1/27/2020,5/31/2021,490
Sri Lanka,1/27/2020,5/31/2021,490
Australia,1/25/2020,5/31/2021,492
Malaysia,1/25/2020,5/31/2021,492
France,1/24/2020,5/31/2021,493
Sweden,1/24/2020,5/31/2021,493
Singapore,1/23/2020,5/31/2021,494
Vietnam,1/23/2020,5/31/2021,494
Canada,1/22/2020,5/31/2021,495
Taiwan,1/21/2020,5/31/2021,496
South Korea,1/20/2020,5/31/2021,497
Japan,1/16/2020,5/31/2021,501
Thailand,1/13/2020,5/31/2021,504
United States,1/13/2020,5/31/2021,504
Nepal,1/9/2020,5/31/2021,508
China,1/1/2020,5/31/2021,516
