date,CFR_mean
2021-01-06,1.67703944495584
2021-01-07,1.67974301999212
2021-01-08,1.68140875717409
2021-01-09,1.68144588368755
2021-01-10,1.68000827513369
2021-01-11,1.68388178653818
2021-01-12,1.68898457556542
2021-01-13,1.69034056669343
2021-01-14,1.69188519787334
2021-01-15,1.69541955979006
2021-01-16,1.69665013524896
2021-01-17,1.69897665037456
2021-01-18,1.70311782939439
2021-01-19,1.7102309038659
2021-01-20,1.71307473939634
2021-01-21,1.7153750546424
2021-01-22,1.71938518061689
2021-01-23,1.72127812268162
2021-01-24,1.72384985710989
2021-01-25,1.73031921628908
2021-01-26,1.73492807346615
2021-01-27,1.73627815752895
2021-01-28,1.73887453741216
2021-01-29,1.74041812355796
2021-01-30,1.74087707255845
2021-01-31,1.7413872916908
2021-02-01,1.74516320701024
2021-02-02,1.74889146030044
2021-02-03,1.75119390232397
2021-02-04,1.75327136855649
2021-02-05,1.75321081677237
2021-02-06,1.75416613419046
2021-02-07,1.75446072825849
2021-02-08,1.75694379550081
2021-02-09,1.76088921904444
2021-02-10,1.76052214372021
2021-02-11,1.76113092121106
2021-02-12,1.76049209412491
2021-02-13,1.75999442049664
2021-02-14,1.75922870091839
2021-02-15,1.76023641994802
2021-02-16,1.76201224562114
2021-02-17,1.76131206290377
2021-02-18,1.75917073698693
2021-02-19,1.7565146654098
2021-02-20,1.75415524605441
2021-02-21,1.75141663124755
2021-02-22,1.75077650333816
2021-02-23,1.74958712070708
2021-02-24,1.74529568808957
2021-02-25,1.74112243008043
2021-02-26,1.73652279788168
2021-02-27,1.73117203296827
2021-02-28,1.72634983407762
2021-03-01,1.72407440500673
2021-03-02,1.7218279648058
2021-03-03,1.71761914350747
2021-03-04,1.71288286611459
2021-03-05,1.70778466134828
2021-03-06,1.70215717423311
2021-03-07,1.69824089136267
2021-03-08,1.70042681038792
2021-03-09,1.69638099358363
2021-03-10,1.69235450904531
2021-03-11,1.687132170898
2021-03-12,1.68192561509947
2021-03-13,1.67604515741818
2021-03-14,1.6712392116941
2021-03-15,1.67036284547739
2021-03-16,1.66920616378555
2021-03-17,1.66556988645561
2021-03-18,1.65992041572041
2021-03-19,1.65445905503029
2021-03-20,1.6502982306403
2021-03-21,1.64533565523681
2021-03-22,1.64239693722719
2021-03-23,1.64084127538404
2021-03-24,1.63716463039173
2021-03-25,1.63334713646649
2021-03-26,1.62851796584647
2021-03-27,1.62382441722243
2021-03-28,1.62004593388462
2021-03-29,1.61770676192059
2021-03-30,1.61654469738711
2021-03-31,1.61550431374476
2021-04-01,1.61233644879343
2021-04-02,1.61043740841619
2021-04-03,1.60794475392332
2021-04-04,1.60612976325762
2021-04-05,1.60772362390811
2021-04-06,1.60902070728469
2021-04-07,1.61197729258699
2021-04-08,1.61197783882519
2021-04-09,1.61203192099804
2021-04-10,1.61146314986865
2021-04-11,1.6106398571123
2021-04-12,1.61444422663692
2021-04-13,1.61759601461697
2021-04-14,1.61916301489702
2021-04-15,1.61981080659361
2021-04-16,1.62153147722149
2021-04-17,1.62355639729184
2021-04-18,1.62489692810636
2021-04-19,1.62675316554992
2021-04-20,1.62884957950974
2021-04-21,1.63018561236462
2021-04-22,1.632207226971
2021-04-23,1.63413715565706
2021-04-24,1.63525970383258
2021-04-25,1.63595229606722
2021-04-26,1.63767321581964
2021-04-27,1.64016596487875
2021-04-28,1.64151266360294
2021-04-29,1.64390105779113
2021-04-30,1.64463762236852
2021-05-01,1.6456482186598
2021-05-02,1.64569994454097
2021-05-03,1.64877221176922
2021-05-04,1.65061344266946
2021-05-05,1.65151499375257
2021-05-06,1.6534801664257
2021-05-07,1.6544390340222
2021-05-08,1.65420257539975
2021-05-09,1.65532636052303
2021-05-10,1.65685897102096
2021-05-11,1.65711493946514
2021-05-12,1.65811408365523
2021-05-13,1.65872339322844
2021-05-14,1.65922736590616
2021-05-15,1.65902273327699
2021-05-16,1.65962517541214
2021-05-17,1.66096165362285
2021-05-18,1.66198628802135
2021-05-19,1.66227665185321
2021-05-20,1.66218127414139
2021-05-21,1.6624910198677
2021-05-22,1.66245697083465
2021-05-23,1.66301673840297
2021-05-24,1.66437276071078
2021-05-25,1.66453615186347
2021-05-26,1.66464259962688
2021-05-27,1.66429845806665
2021-05-28,1.66491187461709
2021-05-29,1.66427110621542
2021-05-30,1.66407631265772
