"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph"
"Argentina",77,0.0207353079428023,91878.5935714286,22320.5714285714,11.198,16.177,238.147,58.6,18933.907,0.57,28.3,36.4128571428571
"Argentina",78,0.0209243322345244,94897.5767142857,18309.1428571429,11.198,16.177,242.925857142857,58.6,18933.907,0.57,28.3,40.3185714285714
"Argentina",79,0.0210519365396787,98006.1161428572,20141,11.198,16.177,247.802142857143,58.6,18933.907,0.57,28.3,44.2742857142857
"Argentina",80,0.0211769199801914,100857.264428571,17352.5714285714,11.198,16.177,252.808,58.6,18933.907,0.57,28.3,49.8057142857143
"Argentina",81,0.0212728102137546,103306.393,15276.1428571429,11.198,16.177,257.866,58.6,18933.907,0.57,28.3,55.3642857142857
"Argentina",82,0.0213832826630209,105596.455571429,13199.8571428571,11.198,16.177,263.009285714286,58.6,18933.907,0.57,28.3,60.9528571428571
"Argentina",83,0.0214134802019782,107616.024714286,13367.7142857143,11.198,16.177,267.870571428571,58.6,18933.907,0.57,28.3,66.4028571428571
"Argentina",84,0.021454300084003,108961.198,11919.5,11.198,16.177,271.12,58.6,18933.907,0.57,28.3,70.08
"Armenia",75,0.0199498679920792,75213.545,102.666666666667,11.232,102.931,367.887333333333,50.2,8787.58,-0.11,20.2,NA
"Armenia",76,0.0199921254686893,75338.2475714286,68.8571428571429,11.232,102.931,373.071,50.2,8787.58,-0.11,20.2,1.57
"Armenia",77,0.0200509210015991,75511.7068571429,77.1428571428571,11.232,102.931,380.784142857143,50.2,8787.58,-0.11,20.2,1.87
"Armenia",78,0.0200601740977747,75690.7582857143,76.1428571428571,11.232,102.931,389.136428571429,50.2,8787.58,-0.11,20.2,2.17
"Armenia",79,0.0200559733483389,75896.5181428571,98.2857142857143,11.232,102.931,397.56,50.2,8787.58,-0.11,20.2,2.52
"Armenia",80,0.0200638026006272,76143.208,109.428571428571,11.232,102.931,407.022571428571,50.2,8787.58,-0.11,20.2,NA
"Armenia",81,0.0200748121341934,76440.0844285714,137.428571428571,11.232,102.931,417.990571428571,50.2,8787.58,-0.11,20.2,3.65
"Armenia",82,0.0200681217989528,76806.7204285714,173.142857142857,11.232,102.931,431.0146,50.2,8787.58,-0.11,20.2,4.42
"Armenia",83,0.0200513478453568,77270.0657142857,206,11.232,102.931,443.8048,50.2,8787.58,-0.11,20.2,5.15
