"","Group.1","x"
"173","2020-06-21",324.264552060609
"174","2020-06-22",323.478772852792
"175","2020-06-23",323.298902832573
"176","2020-06-24",322.511853333274
"177","2020-06-25",320.174945911552
"178","2020-06-26",320.096784507149
"179","2020-06-27",318.094029355529
"180","2020-06-28",318.096433319523
"181","2020-06-29",317.204972721786
"182","2020-06-30",317.179460308138
"183","2020-07-01",316.372256899441
"184","2020-07-02",315.189846155708
"185","2020-07-03",314.562899213167
"186","2020-07-04",313.419355221042
"187","2020-07-05",313.185134865489
"188","2020-07-06",313.916523374144
"189","2020-07-07",313.651766926314
"190","2020-07-08",312.622239701027
"191","2020-07-09",309.646351309009
"192","2020-07-10",305.996344323962
"193","2020-07-11",305.467936838688
"194","2020-07-12",306.899388312956
"195","2020-07-13",307.065636524682
"196","2020-07-14",306.73687977124
"197","2020-07-15",305.814231232567
"198","2020-07-16",305.14634355278
"199","2020-07-17",306.175984649589
"200","2020-07-18",307.066304679804
"201","2020-07-19",306.406245096467
"202","2020-07-20",305.378567051199
"203","2020-07-21",305.268746760176
"204","2020-07-22",304.795912087247
"205","2020-07-23",303.421124274004
"206","2020-07-24",300.532693176109
"207","2020-07-25",299.914534310999
"208","2020-07-26",299.91761318178
"209","2020-07-27",299.75606151744
"210","2020-07-28",299.391435429528
"211","2020-07-29",297.274414555025
"212","2020-07-30",297.188413419274
"213","2020-07-31",295.005877253843
"214","2020-08-01",294.087103272164
"215","2020-08-02",293.678396027126
"216","2020-08-03",294.175891879396
"217","2020-08-04",294.095349725729
"218","2020-08-05",293.395737406962
"219","2020-08-06",292.951587293979
"220","2020-08-07",291.66510897674
"221","2020-08-08",290.577144852241
"222","2020-08-09",291.008823538481
"223","2020-08-10",290.748281030348
"224","2020-08-11",290.936795498738
"225","2020-08-12",290.03987666602
"226","2020-08-13",289.441180563925
"227","2020-08-14",288.941015284616
"228","2020-08-15",288.286458433943
"229","2020-08-16",287.778633368817
"230","2020-08-17",287.915062958805
"231","2020-08-18",286.878295735991
"232","2020-08-19",286.369054767468
"233","2020-08-20",285.536630508387
"234","2020-08-21",283.516669884619
"235","2020-08-22",282.9392650311
"236","2020-08-23",282.485887485255
"237","2020-08-24",282.472234781432
"238","2020-08-25",282.190248627936
"239","2020-08-26",281.890869131589
"240","2020-08-27",281.391014906475
"241","2020-08-28",280.761332927837
"242","2020-08-29",279.965701768035
"243","2020-08-30",279.085530412269
"244","2020-08-31",278.805419975292
"245","2020-09-01",278.724581676417
"246","2020-09-02",278.212456241889
"247","2020-09-03",277.957243976821
"248","2020-09-04",277.011849509816
"249","2020-09-05",276.193265630196
"250","2020-09-06",275.487407779272
"251","2020-09-07",279.10605720064
"252","2020-09-08",279.154061321479
"253","2020-09-09",278.251399397355
"254","2020-09-10",277.219527431033
"255","2020-09-11",276.145215125433
"256","2020-09-12",275.094305005948
"257","2020-09-13",274.50465552997
"258","2020-09-14",274.460141664145
"259","2020-09-15",273.876895658262
"260","2020-09-16",273.197798258106
"261","2020-09-17",272.715233252097
"262","2020-09-18",271.923075897751
"263","2020-09-19",271.110544112728
"264","2020-09-20",270.836493199614
"265","2020-09-21",270.251907385249
"266","2020-09-22",269.874663890611
"267","2020-09-23",269.507396101256
"268","2020-09-24",268.931771829078
"269","2020-09-25",268.338721390457
"270","2020-09-26",267.990241345267
"271","2020-09-27",267.751860267364
"272","2020-09-28",267.663637078009
"273","2020-09-29",267.519761198712
"274","2020-09-30",266.858560491158
"275","2020-10-01",266.367460177515
"276","2020-10-02",265.888734109371
"277","2020-10-03",265.190062118071
"278","2020-10-04",264.938420558927
"279","2020-10-05",264.663992741745
"280","2020-10-06",264.278674714826
"281","2020-10-07",263.648878326642
"282","2020-10-08",262.87409009382
"283","2020-10-09",262.261349834277
"284","2020-10-10",261.611785178541
"285","2020-10-11",261.030829719395
"286","2020-10-12",260.710704449018
"287","2020-10-13",260.100033055982
"288","2020-10-14",259.493381715551
"289","2020-10-15",258.523105041067
"290","2020-10-16",257.848544430615
"291","2020-10-17",257.24258558816
"292","2020-10-18",256.764565132663
"293","2020-10-19",256.206078454176
"294","2020-10-20",255.52447092157
"295","2020-10-21",254.868744734732
"296","2020-10-22",254.052820106298
"297","2020-10-23",253.183903582777
"298","2020-10-24",252.475236985332
"299","2020-10-25",251.761229849474
"300","2020-10-26",251.580266442056
"301","2020-10-27",250.824240164064
"302","2020-10-28",250.138302994311
"303","2020-10-29",249.275675655518
"304","2020-10-30",248.468051355793
"305","2020-10-31",247.952237321645
"306","2020-11-01",247.500947941959
"307","2020-11-02",247.219810774516
"308","2020-11-03",246.64966745657
"309","2020-11-04",246.085180106855
"310","2020-11-05",245.407030169028
"311","2020-11-06",244.837290261018
"312","2020-11-07",244.399147985319
"313","2020-11-08",245.544320020013
"314","2020-11-09",245.53813329421
"315","2020-11-10",244.977115318246
"316","2020-11-11",244.694475866776
"317","2020-11-12",244.130228968529
"318","2020-11-13",243.731810370113
"319","2020-11-14",243.31368602221
"320","2020-11-15",243.310999860955
"321","2020-11-16",243.134048493588
"322","2020-11-17",243.068209519649
"323","2020-11-18",242.777167660742
"324","2020-11-19",242.433269264374
"325","2020-11-20",242.050360887125
"326","2020-11-21",241.711539714937
"327","2020-11-22",241.549934173227
"328","2020-11-23",241.534374834576
"329","2020-11-24",241.294907557358
"330","2020-11-25",240.975704289294
"331","2020-11-26",240.41116635469
"332","2020-11-27",239.772730944984
"333","2020-11-28",239.415887623693
"334","2020-11-29",239.262013332905
"335","2020-11-30",239.510815419276
"336","2020-12-01",239.309134649898
"337","2020-12-02",239.155126556032
"338","2020-12-03",238.769033410699
"339","2020-12-04",238.316460475452
"340","2020-12-05",237.833173483865
"341","2020-12-06",237.435076740599
"342","2020-12-07",237.586773090181
"343","2020-12-08",237.267793850204
"344","2020-12-09",237.084087551415
"345","2020-12-10",236.171437712231
"346","2020-12-11",236.056226787767
"347","2020-12-12",235.808471751058
"348","2020-12-13",235.721365821052
"349","2020-12-14",235.70950762325
"350","2020-12-15",235.687660150079
"351","2020-12-16",235.715550118735
"352","2020-12-17",235.505170749683
"353","2020-12-18",235.463207697906
"354","2020-12-19",235.336070445191
"355","2020-12-20",235.342886493689
"356","2020-12-21",235.666179484524
"357","2020-12-22",233.892317562538
"358","2020-12-23",234.675589581144
"359","2020-12-24",234.31257608857
"360","2020-12-25",234.118883166708
"361","2020-12-26",234.213886208636
"362","2020-12-27",234.514394443862
"363","2020-12-28",234.712972668624
"364","2020-12-29",234.823831823492
"365","2020-12-30",234.730707564027
"366","2020-12-31",234.549412150778
"367","2021-01-01",234.306006829516
"368","2021-01-02",234.80740746456
"369","2021-01-03",234.622933325603
"370","2021-01-04",234.708165650715
"371","2021-01-05",234.655877672681
"372","2021-01-06",234.128296884028
"373","2021-01-07",233.955885225017
"374","2021-01-08",233.801941414211
"375","2021-01-09",233.638187192838
"376","2021-01-10",233.110612671595
"377","2021-01-11",233.127536395737
"378","2021-01-12",233.324160408411
"379","2021-01-13",233.465571977241
"380","2021-01-14",233.398575936095
"381","2021-01-15",233.064378562163
"382","2021-01-16",232.79368907526
"383","2021-01-17",232.844720048031
"384","2021-01-18",233.26238190593
"385","2021-01-19",233.535362656419
"386","2021-01-20",233.572409169002
"387","2021-01-21",233.866406765961
"388","2021-01-22",234.152312876357
"389","2021-01-23",234.227675789131
"390","2021-01-24",234.351359670229
"391","2021-01-25",235.197978890292
"392","2021-01-26",235.385356109421
"393","2021-01-27",235.191658503162
"394","2021-01-28",235.567912428228
"395","2021-01-29",235.520122799518
"396","2021-01-30",235.458449868721
"397","2021-01-31",235.496372208686
"398","2021-02-01",235.801262580944
"399","2021-02-02",235.974662573848
"400","2021-02-03",236.026780808376
"401","2021-02-04",236.266864721225
"402","2021-02-05",236.237232568363
"403","2021-02-06",236.279988682427
"404","2021-02-07",236.2480306826
"405","2021-02-08",236.331507280625
"406","2021-02-09",236.591557865511
