"","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"69","Benin",5,0.0129046282836071,306.935666666667,35.6666666666667,3.244,99.11,NA,2064.236,NA,26.39,28.8,0.27,"BEN","Africa",9.6,0
"70","Benin",4,0.0130337637547044,295.867428571429,29.1428571428571,3.244,99.11,NA,2064.236,NA,26.39,28.8,0.27,"BEN","Africa",9.6,0
"71","Bolivia",4,0.0493262107503519,17217.1857142857,2047.57142857143,6.704,10.202,44.0664285714286,6885.829,NA,30.56,35.8,-0.04,"BOL","South America",20.2,0
"72","Bolivia",1,0.0442456432898245,32972.3917,3694.5,6.704,10.202,149.3674,6885.829,84.54,42.1971428571429,35.8,-0.04,"BOL","South America",20.2,0
"73","Bolivia",5,0.0479978037940177,18187.2023333333,2036.33333333333,6.704,10.202,46.9726666666667,6885.829,NA,28.7066666666667,35.8,-0.04,"BOL","South America",20.2,0
"74","Bolivia",3,0.0511208246933176,16013.5718571429,2196.71428571429,6.704,10.202,40.9454285714286,6885.829,NA,30.56,35.8,-0.04,"BOL","South America",20.2,0
"75","Bolivia",2,0.0463950583385424,27393.7327142857,4041.14285714286,6.704,10.202,38.4834,6885.829,90.38,30.56,35.8,-0.04,"BOL","South America",20.2,0
"76","Bosnia and Herzegovina",3,0.0379006193512409,36132.6518571429,313.571428571429,16.569,68.496,173.524428571429,11713.895,NA,42.59,42.8,-0.24,"BIH","Europe",17.9,0
"77","Bosnia and Herzegovina",5,0.0385112389606328,37229.516,101,16.569,68.496,181.47,11713.895,NA,42.59,42.8,-0.24,"BIH","Europe",17.9,0
"78","Bosnia and Herzegovina",2,0.039696178922197,52030.1575714286,1307.85714285714,16.569,68.496,168.1726,11713.895,NA,42.59,42.8,-0.24,"BIH","Europe",17.9,0
"79","Bosnia and Herzegovina",4,0.0382647791542081,36814.2688571429,284,16.569,68.496,178.881,11713.895,NA,42.59,42.8,-0.24,"BIH","Europe",17.9,0
"80","Bosnia and Herzegovina",1,0.0413692159250513,62076.1897,633.4,16.569,68.496,234.5075,11713.895,NA,39.815,42.8,-0.24,"BIH","Europe",17.9,0
"81","Botswana",2,0.00558871612545977,32691.3452857143,648.666666666667,3.941,4.044,243.684,15807.374,NA,53.7,31.1,0.47,"BWA","Africa",18.9,0
"82","Botswana",1,0.00697484145451076,49239.9592,317.9,3.941,4.044,232.2245,15807.374,NA,39.81375,31.1,0.47,"BWA","Africa",18.9,0
"83","Botswana",5,0.00629314798290518,8882.298,0,3.941,4.044,278.983,15807.374,NA,53.7,31.1,0.47,"BWA","Africa",18.9,0
"84","Botswana",3,0.00453988125284038,7606.30671428571,327,3.941,4.044,253.115,15807.374,NA,53.7,31.1,0.47,"BWA","Africa",18.9,0
"85","Botswana",4,0.00576113876270861,8475.759,234.142857142857,3.941,4.044,267.237,15807.374,NA,53.7,31.1,0.47,"BWA","Africa",18.9,0
"86","Brazil",4,0.0245178770479694,41612.9241428571,51584.5714285714,8.552,25.04,145.203285714286,14103.452,0.427142857142857,71.4985714285714,59.7,0.39,"BRA","South America",22.1,0
"87","Brazil",3,0.0246992043530817,39931.549,53352.4285714286,8.552,25.04,141.596166666667,14103.452,0.03,72.69,59.7,0.39,"BRA","South America",22.1,0
"88","Brazil",2,0.0256830639195787,57581.4015714286,51361.4285714286,8.552,25.04,139.582,14103.452,157.595,64.35,59.7,0.39,"BRA","South America",22.1,0
"89","Brazil",1,0.0265595089551986,70235.6251,17501.7,8.552,25.04,137.0764,14103.452,155.26,64.35,59.7,0.39,"BRA","South America",22.1,0
"90","Brazil",5,0.0244076579538534,42862.1376666667,46839,8.552,25.04,154.141666666667,14103.452,0.943333333333333,69.91,59.7,0.39,"BRA","South America",22.1,0
"91","Bulgaria",3,0.0403212116762541,30814.8351428571,416.142857142857,20.801,65.18,184.636285714286,18563.307,0.302857142857143,53.7,45.6,0.32,"BGR","Europe",25,0
"92","Bulgaria",1,0.0396236553985454,69443.9404,2049.2,20.801,65.18,320.942666666667,18563.307,38.5985714285714,51.85,45.6,0.32,"BGR","Europe",25,0
"93","Bulgaria",2,0.0396405578101126,54484.1354285714,2338.28571428571,20.801,65.18,178.6752,18563.307,18.9866666666667,53.7,45.6,0.32,"BGR","Europe",25,0
"94","Bulgaria",4,0.0411392837777877,31289.2058571429,530,20.801,65.18,192.223142857143,18563.307,0.425714285714286,53.7,45.6,0.32,"BGR","Europe",25,0
"95","Bulgaria",5,0.0413049671541526,31688.5503333333,391.333333333333,20.801,65.18,200.394333333333,18563.307,0.593333333333333,53.7,45.6,0.32,"BGR","Europe",25,0
"96","Burkina Faso",4,0.0113509155329075,469.937,94,2.409,70.151,NA,1703.102,NA,16.67,30.1,-0.04,"BFA","Africa",5.6,0
"97","Burkina Faso",3,0.011100310727639,432.257714285714,130,2.409,70.151,NA,1703.102,NA,16.67,30.1,-0.04,"BFA","Africa",5.6,0
"98","Burkina Faso",1,0.0150660969759153,583.5997,164,2.409,70.151,NA,1703.102,5.55,13.89,30.1,-0.04,"BFA","Africa",5.6,0
"99","Burkina Faso",5,0.0113630021480314,491.306333333333,101.666666666667,2.409,70.151,NA,1703.102,NA,16.67,30.1,-0.04,"BFA","Africa",5.6,0
"100","Burkina Faso",2,0.0126348729004969,541.275857142857,188.6,2.409,70.151,NA,1703.102,NA,15.558,30.1,-0.04,"BFA","Africa",5.6,0
"101","Burundi",1,0.00185528601211014,1227.301,473.4,2.562,423.062,NA,702.225,NA,16.08375,22.8,-1.65,"BDI","Africa",5.4,0
"102","Burundi",3,0.00160474648230189,101.984,36.4285714285714,2.562,423.062,NA,702.225,NA,15.6071428571429,22.8,-1.65,"BDI","Africa",5.4,0
"103","Burundi",4,0.00135159123701023,120.949285714286,32.2857142857143,2.562,423.062,NA,702.225,NA,16.67,22.8,-1.65,"BDI","Africa",5.4,0
"104","Burundi",2,0.00168335734237899,891.080285714286,178.714285714286,2.562,423.062,NA,702.225,NA,14.72,22.8,-1.65,"BDI","Africa",5.4,0
"105","Burundi",5,0.00123743286451987,131.887,16,2.562,423.062,NA,702.225,NA,16.67,22.8,-1.65,"BDI","Africa",5.4,0
"106","Cambodia",4,NA,21.0923333333333,0.888888888888889,4.412,90.672,NA,3645.07,NA,36.7266666666667,39.2,-1.22," "," ",3.9,0
"107","Cambodia",3,NA,26.2337142857143,4.28571428571429,4.412,90.672,NA,3645.07,NA,47.22,39.2,-1.22," "," ",3.9,0
"108","Cambodia",1,0.0250068863095217,3567.1259,4.7,4.412,90.672,NA,3645.07,180.276,50.465,39.2,-1.22," "," ",3.9,0
"109","Cambodia",2,0.0249890185893112,2051.20142857143,12,4.412,90.672,NA,3645.07,183.03,48.702,39.2,-1.22," "," ",3.9,0
"110","Cambodia",5,NA,13.7391666666667,0.5,4.412,90.672,NA,3645.07,NA,23.61,39.2,-1.22," "," ",3.9,0
"111","Cameroon",3,0.0162805116291642,1025.32514285714,96.2857142857143,3.165,50.885,NA,3364.926,NA,28.8357142857143,34.4,-1.1,"CMR","Africa",11.4,0
"112","Cameroon",4,0.0156912990463506,1079.45742857143,229.571428571429,3.165,50.885,NA,3364.926,NA,28.8357142857143,34.4,-1.1,"CMR","Africa",11.4,0
"113","Cameroon",5,0.0155991491373198,1087.89,0,3.165,50.885,NA,3364.926,NA,35.19,34.4,-1.1,"CMR","Africa",11.4,0
"114","Cameroon",2,0.0166659646964118,1863.02285714286,97.6,3.165,50.885,NA,3364.926,NA,35.19,34.4,-1.1,"CMR","Africa",11.4,0
"115","Cameroon",1,0.0168055990375562,2501.7205,57.1,3.165,50.885,NA,3364.926,NA,23.334,34.4,-1.1,"CMR","Africa",11.4,0
"116","Canada",3,0.0253633418873791,18912.9848571429,6042.14285714286,16.984,4.037,527.618,44017.591,1.64714285714286,75.46,75.3,1.52,"CAN","North America",29.4,0
"117","Canada",5,0.0255651844829011,10245.1156666667,2063.16666666667,16.984,4.037,422.92725,44017.591,2.53,39.12,75.3,1.52,"CAN","North America",29.4,0
"118","Canada",1,0.0198458205026045,38146.5725,23317.4,16.984,4.037,937.4115,44017.591,91.115,72.405,75.3,1.52,"CAN","North America",29.4,0
"119","Canada",2,0.0216047389911924,32392.9801428571,18670.2857142857,16.984,4.037,508.4344,44017.591,54.72,75.46,75.3,1.52,"CAN","North America",29.4,0
"120","Canada",4,0.0254207876893229,13929.1114,3370.6,16.984,4.037,548.863571428571,44017.591,2.25285714285714,53.656,75.3,1.52,"CAN","North America",29.4,0
"121","Central African Republic",2,0.0114044768458804,1450.904,28.5714285714286,3.655,7.479,NA,661.24,NA,21.6033333333333,27.3,-1.19," "," ",7.5,0
"122","Central African Republic",5,0.0126480626380245,1012.401,0,3.655,7.479,NA,661.24,NA,22.22,27.3,-1.19," "," ",7.5,0
"123","Central African Republic",3,0.012667681717705,1010.833,0.142857142857143,3.655,7.479,NA,661.24,NA,22.22,27.3,-1.19," "," ",7.5,0
"124","Central African Republic",4,0.0126545996066317,1011.87842857143,1,3.655,7.479,NA,661.24,NA,22.22,27.3,-1.19," "," ",7.5,0
"125","Central African Republic",1,0.0104795009425796,1746.3667,29.1,3.655,7.479,NA,661.24,NA,17.595,27.3,-1.19," "," ",7.5,0
"126","Chad",4,0.0363458899820651,188.961857142857,33,2.486,11.833,NA,1768.153,NA,74.07,28.8,-1.45," "," ",6.1,0
"127","Chad",2,0.0371881402107847,222.879285714286,90.8571428571429,2.486,11.833,NA,1768.153,NA,72.034,28.8,-1.45," "," ",6.1,0
"128","Chad",5,0.0352465085683351,197.931,26.6666666666667,2.486,11.833,NA,1768.153,NA,74.07,28.8,-1.45," "," ",6.1,0
"129","Chad",1,0.0384823915744866,248.0641,65.8,2.486,11.833,NA,1768.153,NA,64.258,28.8,-1.45," "," ",6.1,0
"130","Chad",3,0.0384019042900066,173.388142857143,41.7142857142857,2.486,11.833,NA,1768.153,NA,74.07,28.8,-1.45," "," ",6.1,0
"131","Chile",1,0.0243544997915343,63224.5634,2182.2,11.087,24.282,880.49,22767.037,115.882,57.41,58.3,1.05,"CHL","South America",28,0
"132","Chile",2,0.0250259413731341,51433.0674285714,3846.14285714286,11.087,24.282,542.8565,22767.037,0.068,79.17,58.3,1.05,"CHL","South America",28,0
"133","Chile",3,0.0260341147178256,35046.2821428571,4056.42857142857,11.087,24.282,380.081285714286,22767.037,0.207142857142857,79.17,58.3,1.05,"CHL","South America",28,0
"134","Chile",4,0.0255851212507051,36565.237,4148,11.087,24.282,400.044428571429,22767.037,0.345714285714286,79.17,58.3,1.05,"CHL","South America",28,0
"135","Chile",5,0.0253823152987829,37627.8216666667,4322,11.087,24.282,414.303333333333,22767.037,0.35,79.17,58.3,1.05,"CHL","South America",28,0
"136","China",3,0.0523982782191431,61.2494285714286,117.571428571429,10.641,147.674,NA,15308.712,1.04,78.24,48.2,-1.45,"CHN","Asia",6.2,0
"137","China",2,0.05045816289921,63.9814285714286,138.285714285714,10.641,147.674,NA,15308.712,134.506666666667,78.24,48.2,-1.45,"CHN","Asia",6.2,0
"138","China",4,0.0400856044436619,31.5599285714286,424.153846153846,10.641,147.674,NA,15308.712,1.58,65.8078571428571,48.2,-1.45,"CHN","Asia",6.2,0
"139","China",5,0.0366866156674066,33.7546666666667,745.833333333333,10.641,147.674,NA,15308.712,1.66,74.075,48.2,-1.45,"CHN","Asia",6.2,0
"140","China",1,0.0491319919628326,65.7671,95.1,10.641,147.674,NA,15308.712,197.752,78.24,48.2,-1.45,"CHN","Asia",6.2,0
"141","Colombia",1,0.025630533143672,67006.1396,12238.4,7.646,44.223,370.5385,13254.949,127.0625,60.19,44.2,0.19,"COL","South America",22.3,0
"142","Colombia",2,0.0253335052003499,55243.0614285714,18273.8571428571,7.646,44.223,170.7226,13254.949,NA,81.02,44.2,0.19,"COL","South America",22.3,0
"143","Colombia",4,0.0255140190868022,39563.6597142857,13604.2857142857,7.646,44.223,188.476571428571,13254.949,NA,81.02,44.2,0.19,"COL","South America",22.3,0
"144","Colombia",5,0.0257082024796361,40698.4643333333,9103,7.646,44.223,195.019,13254.949,NA,81.02,44.2,0.19,"COL","South America",22.3,0
"145","Colombia",3,0.0254918996095643,37510.7835714286,17606.2857142857,7.646,44.223,178.876,13254.949,NA,81.02,44.2,0.19,"COL","South America",22.3,0
"146","Congo",5,0.0148345378470901,1394.198,0,3.402,15.405,NA,4881.406,NA,43.52,23.6,-1.18,"COG","Africa",9.6,0
"147","Congo",2,0.0157491207875147,2034.64128571429,6.6,3.402,15.405,NA,4881.406,NA,43.52,23.6,-1.18,"COG","Africa",9.6,0
"148","Congo",3,0.0148198583932648,1364.87857142857,90.5714285714286,3.402,15.405,NA,4881.406,NA,43.52,23.6,-1.18,"COG","Africa",9.6,0
"149","Congo",1,0.0164546846762162,2466.742,118.8,3.402,15.405,NA,4881.406,NA,43.52,23.6,-1.18,"COG","Africa",9.6,0
"150","Congo",4,0.014910399060099,1387.15228571429,13.2857142857143,3.402,15.405,NA,4881.406,NA,43.52,23.6,-1.18,"COG","Africa",9.6,0
"151","Costa Rica",3,0.0131988063608581,36183.5147142857,747.857142857143,9.468,96.079,92.1905714285714,15524.995,0.525,63.89,45.1,1.14,"CRI","North America",25.7,0
"152","Costa Rica",4,0.0133821092198813,37102.9171428571,594.285714285714,9.468,96.079,94.7602857142857,15524.995,0.94,63.89,45.1,1.14,"CRI","North America",25.7,0
"153","Costa Rica",5,0.0134729609470395,37609.264,213,9.468,96.079,97.1,15524.995,NA,63.89,45.1,1.14,"CRI","North America",25.7,0
"154","Costa Rica",2,0.0128826329183921,58145.9547142857,2410.85714285714,9.468,96.079,89.54,15524.995,155.99,63.89,45.1,1.14,"CRI","North America",25.7,0
"155","Costa Rica",1,0.0128783342987679,72385.7489,1212.7,9.468,96.079,243.894888888889,15524.995,76.69,58.3325,45.1,1.14,"CRI","North America",25.7,0
"156","Cote d'Ivoire",2,0.00684725625094407,1459.06485714286,214.857142857143,2.933,76.399,16.7236666666667,3601.006,NA,17.59,35.5,-0.22,"CIV","Africa",10.3,0
"157","Cote d'Ivoire",5,0.00541946765242219,1041.27766666667,235,2.933,76.399,12.536,3601.006,NA,17.59,35.5,-0.22,"CIV","Africa",10.3,0
"158","Cote d'Ivoire",3,0.00559991845271126,934.588285714286,167.571428571429,2.933,76.399,11.1118571428571,3601.006,NA,17.59,35.5,-0.22,"CIV","Africa",10.3,0
"159","Cote d'Ivoire",1,0.00798006515614352,1769.8105,442.5,2.933,76.399,27.8695,3601.006,26.82,15.925,35.5,-0.22,"CIV","Africa",10.3,0
"160","Cote d'Ivoire",4,0.00543687457856904,999.385285714286,277.571428571429,2.933,76.399,11.8597142857143,3601.006,NA,17.59,35.5,-0.22,"CIV","Africa",10.3,0
"161","Croatia",2,0.0191286873696265,92705.1368571429,1897.71428571429,19.724,73.726,380.8545,22669.797,40.2233333333333,56.48,53.3,0.5,"HRV","Europe",24.4,0
"162","Croatia",4,0.0211741681453351,56186.9147142857,521.714285714286,19.724,73.726,283.964857142857,22669.797,1.65,56.48,53.3,0.5,"HRV","Europe",24.4,0
"163","Croatia",1,0.0182750885533778,114974.4822,2479.4,19.724,73.726,364.978,22669.797,83.2771428571429,54.165,53.3,0.5,"HRV","Europe",24.4,0
"164","Croatia",3,0.020621567910275,55229.4255714286,604.142857142857,19.724,73.726,275.185571428571,22669.797,1.15666666666667,56.48,53.3,0.5,"HRV","Europe",24.4,0
"165","Croatia",5,0.0215456143051311,56844.1526666667,482.666666666667,19.724,73.726,290.570333333333,22669.797,1.96,56.48,53.3,0.5,"HRV","Europe",24.4,0
"166","Cuba",4,0.00899397475628277,1943.05957142857,653.571428571429,14.738,110.408,159.777714285714,NA,NA,78.7,35.2,-1.44,"CUB","North America",24.6,0
"167","Cuba",3,0.00940910623341593,1623.47842857143,425.857142857143,14.738,110.408,151.372571428571,NA,NA,78.7,35.2,-1.44,"CUB","North America",24.6,0
"168","Cuba",5,0.00826518956548589,2271.527,860.333333333333,14.738,110.408,166.701333333333,NA,NA,78.7,35.2,-1.44,"CUB","North America",24.6,0
"169","Cuba",2,0.00960302416361875,25752.9537142857,1080.71428571429,14.738,110.408,144.4308,NA,NA,67.588,35.2,-1.44,"CUB","North America",24.6,0
"170","Cuba",1,0.0101773059513218,43301.3639,423.5,14.738,110.408,134.5312,NA,273.242,62.04,35.2,-1.44,"CUB","North America",24.6,0
