"","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"1","Afghanistan",1,0.0443162476463176,2647.5354,84.2,2.581,54.422,NA,1803.987,NA,15.74,32.3,-0.99,"AFG","Asia",5.5,0
"2","Afghanistan",4,0.0435757056830107,1372.80528571429,69.7142857142857,2.581,54.422,NA,1803.987,NA,12.04,32.3,-0.99,"AFG","Asia",5.5,0
"3","Afghanistan",2,0.0439066780769033,2097.70542857143,66.4285714285714,2.581,54.422,NA,1803.987,12.36,13.2733333333333,32.3,-0.99,"AFG","Asia",5.5,0
"4","Afghanistan",3,0.0433262347483402,1357.86185714286,89.7142857142857,2.581,54.422,NA,1803.987,NA,12.04,32.3,-0.99,"AFG","Asia",5.5,0
"5","Afghanistan",5,0.0436382509476333,1380.42933333333,44,2.581,54.422,NA,1803.987,NA,12.04,32.3,-0.99,"AFG","Asia",5.5,0
"6","Albania",3,0.0187912879596831,23731.0905714286,560.285714285714,13.188,104.871,104.582428571429,11803.431,0.0157142857142857,60.19,52.9,0.21,"ALB","Europe",21.7,0
"7","Albania",1,0.0176930095919868,47083.8175,376.4,13.188,104.871,87.989,11803.431,82.215,50.834,52.9,0.21,"ALB","Europe",21.7,0
"8","Albania",4,0.0181544536152711,25404.2931428571,791.142857142857,13.188,104.871,112.118571428571,11803.431,NA,60.19,52.9,0.21,"ALB","Europe",21.7,0
"9","Albania",2,0.0179991298866896,38122.8987142857,847.285714285714,13.188,104.871,98.1498,11803.431,16.786,56.7933333333333,52.9,0.21,"ALB","Europe",21.7,0
"10","Albania",5,0.0177238369176292,26886.3353333333,891,13.188,104.871,118.250333333333,11803.431,NA,60.19,52.9,0.21,"ALB","Europe",21.7,0
"11","Algeria",1,0.0281468502260397,3585.7912,324.6,6.211,17.348,NA,13913.839,NA,58.33,23.6,-0.98,"DZA","Africa",27.4,0
"12","Algeria",5,0.0269583471048499,2400.809,243,6.211,17.348,NA,13913.839,0,72.22,23.6,-0.98,"DZA","Africa",27.4,0
"13","Algeria",2,0.0277402268256821,3070.52757142857,321.857142857143,6.211,17.348,NA,13913.839,NA,67.59,23.6,-0.98,"DZA","Africa",27.4,0
"14","Algeria",3,0.0272797088685863,2333.26242857143,246.428571428571,6.211,17.348,NA,13913.839,NA,72.22,23.6,-0.98,"DZA","Africa",27.4,0
"15","Algeria",4,0.0270916690316758,2372.62285714286,251.142857142857,6.211,17.348,NA,13913.839,NA,72.22,23.6,-0.98,"DZA","Africa",27.4,0
"16","Angola",2,0.0221710918964211,1150.53214285714,269.571428571429,2.405,23.89,NA,5819.495,NA,62.96,25.2,-0.92,"AGO","Africa",8.2,0
"17","Angola",3,0.0231488968033743,557.921285714286,80.5714285714286,2.405,23.89,NA,5819.495,NA,62.96,25.2,-0.92,"AGO","Africa",8.2,0
"18","Angola",5,0.02350720288826,582.519666666667,41.3333333333333,2.405,23.89,NA,5819.495,NA,62.96,25.2,-0.92,"AGO","Africa",8.2,0
"19","Angola",4,0.023599399375671,573.876714285714,70.7142857142857,2.405,23.89,NA,5819.495,NA,62.96,25.2,-0.92,"AGO","Africa",8.2,0
"20","Angola",1,0.0221172530097162,1498.9328,524.6,2.405,23.89,NA,5819.495,NA,65.4316666666667,25.2,-0.92,"AGO","Africa",8.2,0
"21","Argentina",1,0.0234058920275314,81265.3486,29850.3,11.198,16.177,246.8342,18933.907,126.71,39.0433333333333,58.6,0.57,"ARG","South America",28.3,0
"22","Argentina",3,0.0252764518734575,39706.7841428571,10337.4285714286,11.198,16.177,64.6142142857143,18933.907,0.52,39.585,58.6,0.57,"ARG","South America",28.3,0
"23","Argentina",4,0.0250643983963211,41175.2968571429,8921,11.198,16.177,79.4473333333333,18933.907,0.658571428571429,44.3464285714286,58.6,0.57,"ARG","South America",28.3,0
"24","Argentina",2,0.0235408150474482,67844.773,39871,11.198,16.177,61.3253,18933.907,117.633333333333,39.585,58.6,0.57,"ARG","South America",28.3,0
"25","Argentina",5,0.0249234438014581,42135.4456666667,7238.33333333333,11.198,16.177,70.596,18933.907,0.775,45.14,58.6,0.57,"ARG","South America",28.3,0
"26","Armenia",5,0.0184158661317543,56225.6753333333,119,11.232,102.931,217.856666666667,8787.58,NA,NA,50.2,-0.11,"ARM","Asia",20.2,0
"27","Armenia",1,0.0204716924267201,85095.0836,146,11.232,102.931,572.178555555556,8787.58,55.94,NA,50.2,-0.11,"ARM","Asia",20.2,0
"28","Armenia",4,0.0183349002526054,55979.3917142857,163,11.232,102.931,215.07375,8787.58,NA,NA,50.2,-0.11,"ARM","Asia",20.2,0
"29","Armenia",3,0.0182068546112531,55500.5905714286,278.857142857143,11.232,102.931,210.455714285714,8787.58,NA,NA,50.2,-0.11,"ARM","Asia",20.2,0
"30","Armenia",2,0.0195243773752253,72482.9637142857,307.285714285714,11.232,102.931,398.677428571429,8787.58,NA,NA,50.2,-0.11,"ARM","Asia",20.2,0
"31","Australia",2,0.0232570137386061,13881.362,25469.7142857143,15.504,3.202,470.7784,44648.71,172.07,58.238,75.5,1.43,"AUS","Oceania",20.1,0
"32","Australia",3,0.031642094090438,1113.98042857143,12.2857142857143,15.504,3.202,484.1125,44648.71,NA,55.09,75.5,1.43,"AUS","Oceania",20.1,0
"33","Australia",1,0.0180298946600418,11355.4146,28139.1,15.504,3.202,1303.4375,44648.71,166.334,55.555,75.5,1.43,"AUS","Oceania",20.1,0
"34","Australia",4,0.0315841266053174,781.2715,4.9,15.504,3.202,495.595,44648.71,NA,40.231,75.5,1.43,"AUS","Oceania",20.1,0
"35","Australia",5,0.0315497203629277,558.776,3.83333333333333,15.504,3.202,502.236,44648.71,NA,32.9483333333333,75.5,1.43,"AUS","Oceania",20.1,0
"36","Austria",1,0.0139862505527852,91618.0807,3437.3,19.202,106.749,8757.313375,45436.686,91.398,73.61,58.5,1.38,"AUT","Europe",29,0
"37","Austria",5,0.0186244524658123,45682.706,1389.33333333333,19.202,106.749,1024.81666666667,45436.686,2.89333333333333,82.41,58.5,1.38,"AUT","Europe",29,0
"38","Austria",4,0.0183927916146011,44896.0264285714,1490.28571428571,19.202,106.749,976.403,45436.686,2.46,82.41,58.5,1.38,"AUT","Europe",29,0
"39","Austria",2,0.0155866935389867,73201.8782857143,4644.14285714286,19.202,106.749,2881.847,45436.686,53.5971428571429,79.4766666666667,58.5,1.38,"AUT","Europe",29,0
"40","Austria",3,0.0180620201622546,43700.9364285714,1505.42857142857,19.202,106.749,871.854857142857,45436.686,1.56857142857143,82.41,58.5,1.38,"AUT","Europe",29,0
"41","Azerbaijan",3,0.013278236350961,22247.8784285714,292.285714285714,6.018,119.309,NA,15847.419,0,83.0671428571429,34.2,-1.5,"AZE","Asia",19.9,0
"42","Azerbaijan",5,0.0135855153117835,22504.7043333333,142,6.018,119.309,NA,15847.419,NA,79.63,34.2,-1.5,"AZE","Asia",19.9,0
"43","Azerbaijan",1,0.0129883185479728,40994.346,467.2,6.018,119.309,575.148,15847.419,111.036,69.907,34.2,-1.5,"AZE","Asia",19.9,0
"44","Azerbaijan",2,0.0132090270178274,33126.4687142857,450.285714285714,6.018,119.309,NA,15847.419,112.63,83.146,34.2,-1.5,"AZE","Asia",19.9,0
"45","Azerbaijan",4,0.0134846980446644,22413.0744285714,221,6.018,119.309,NA,15847.419,NA,82.01,34.2,-1.5,"AZE","Asia",19.9,0
"46","Bahrain",3,0.00368897216227618,56017.516,295.142857142857,2.372,1935.907,1460.005,43290.705,NA,52.5157142857143,39.4,-1.41,"BHR","Asia",29.8,0
"47","Bahrain",4,0.0036780186067941,57363.7254285714,375,2.372,1935.907,1503.03,43290.705,NA,53.0442857142857,39.4,-1.41,"BHR","Asia",29.8,0
"48","Bahrain",5,0.00363722382254845,58657.9116666667,518,2.372,1935.907,1537.04533333333,43290.705,NA,53.3966666666667,39.4,-1.41,"BHR","Asia",29.8,0
"49","Bahrain",1,0.00433490008520455,108080.0436,578.7,2.372,1935.907,1905.904,43290.705,94.464,41.67,39.4,-1.41,"BHR","Asia",29.8,0
"50","Bahrain",2,0.00399522242477652,87565.5588571429,739.428571428571,2.372,1935.907,1969.77966666667,43290.705,78.308,45.6385714285714,39.4,-1.41,"BHR","Asia",29.8,0
"51","Bangladesh",1,0.0162323721710962,6323.8532,767.8,5.098,1265.036,44.4512,3523.984,NA,64.64,35,-0.73,"BGD","Asia",3.6,0
"52","Bangladesh",3,0.0149873660207521,3177.064,649.714285714286,5.098,1265.036,20.8621428571429,3523.984,NA,80.09,35,-0.73,"BGD","Asia",3.6,0
"53","Bangladesh",4,0.0150968152425893,3201.315,526,5.098,1265.036,21.4578571428571,3523.984,0,80.4885714285714,35,-0.73,"BGD","Asia",3.6,0
"54","Bangladesh",2,0.0156818486333654,4994.93671428571,1290,5.098,1265.036,34.6228571428571,3523.984,80.05,80.09,35,-0.73,"BGD","Asia",3.6,0
"55","Bangladesh",5,0.0151665787879723,3215.639,395.333333333333,5.098,1265.036,21.869,3523.984,NA,81.02,35,-0.73,"BGD","Asia",3.6,0
"56","Belarus",2,0.0073891422261457,37788.6141428571,1518,14.799,46.858,1186.345,17167.967,NA,42.59,35.3,-1.35,"BLR","Europe",24.5,0
"57","Belarus",1,0.00763820645675667,47744.3768,1321.7,14.799,46.858,1173.227,17167.967,91.62,31.015,35.3,-1.35,"BLR","Europe",24.5,0
"58","Belarus",5,0.00692789473532534,26108.7373333333,1828.33333333333,14.799,46.858,469.679,17167.967,NA,42.59,35.3,-1.35,"BLR","Europe",24.5,0
"59","Belarus",3,0.00700905560719658,24046.4197142857,1805,14.799,46.858,446.485,17167.967,NA,42.59,35.3,-1.35,"BLR","Europe",24.5,0
"60","Belarus",4,0.00695220130042217,25259.9132857143,1507.57142857143,14.799,46.858,464.617,17167.967,NA,42.59,35.3,-1.35,"BLR","Europe",24.5,0
"61","Belgium",2,0.0251351835277324,97441.6657142857,12335.5714285714,18.571,375.564,638.9074,42658.576,32.7983333333333,58.1833333333333,61,1.4,"BEL","Europe",22.1,0
"62","Belgium",1,0.0217954113309269,119723.9094,8060.6,18.571,375.564,1486.2686,42658.576,93.837,54.17,61,1.4,"BEL","Europe",22.1,0
"63","Belgium",3,0.0301059510005432,58497.5464285714,1991.57142857143,18.571,375.564,661.339285714286,42658.576,1.30428571428571,60.19,61,1.4,"BEL","Europe",22.1,0
"64","Belgium",5,0.0297564744487725,60839.324,2572,18.571,375.564,710.741666666667,42658.576,2.94,62.96,61,1.4,"BEL","Europe",22.1,0
"65","Belgium",4,0.0299460358635274,59788.8852857143,2230,18.571,375.564,688.718571428571,42658.576,2.32285714285714,60.9814285714286,61,1.4,"BEL","Europe",22.1,0
"66","Benin",2,0.0114637202416869,779.052,15.5714285714286,3.244,99.11,NA,2064.236,NA,30.744,28.8,0.27,"BEN","Africa",9.6,0
"67","Benin",3,0.0133888535398264,277.705142857143,24.1428571428571,3.244,99.11,NA,2064.236,NA,26.9857142857143,28.8,0.27,"BEN","Africa",9.6,0
"68","Benin",1,0.00994413088841489,1141.7287,64,3.244,99.11,NA,2064.236,15.24,35.19,28.8,0.27,"BEN","Africa",9.6,0
