"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2","SI","CFRprcnt"
"2568",2551,"Cote d'Ivoire",88,0.007786223,2038.2996,274,2.933,76.399,33.01175,3601.006,4.8925,35.5,-0.22,"CIV","Africa",10.3,4.8925,18.516,0.7786223
"2649",2641,"Croatia",88,0.022316216,91411.5026,475,19.724,73.726,619.3992,22669.797,79.83,53.3,0.5,"HRV","Europe",24.4,79.83,33.8,2.2316216
"2727",2679,"Cuba",88,0.008032486,56572.1858,6636.6,14.738,110.408,NA,NA,121.494,35.2,-1.44,"CUB","North America",24.6,121.494,71.76,0.8032486
"2805",2792,"Democratic Republic of Congo",88,0.01935604,591.5912,127.4,3.02,35.879,NA,808.133,0.105,26.5,-1.51,"COD","Africa",6.7,0.105,37.96,1.935604
"2889",2845,"Denmark",88,0.007473219,59419.3454,832.4,19.677,136.52,6841.9626,46682.515,146.776,70.4,1.61,"DNK","Europe",19.7,146.776,37.038,0.7473219
"2966",2953,"Djibouti",88,0.013376058,11711.6694,7.6,4.213,41.285,NA,2705.406,NA,23.2,-1.35,"DJI","Africa",13.5,5.81,54.63,1.3376058
"3046",3041,"Dominican Republic",88,0.011456209,31932.9498,251.6,6.981,222.873,178.3733333,14600.861,101.274,38.3,0.14,"DOM","North America",27.6,101.274,52.778,1.1456209
"3126",3082,"Ecuador",88,0.064323314,28003.2272,223.4,7.104,66.939,93.4756,10581.936,104.7775,50.1,0.03,"ECU","South America",19.9,104.7775,65.74,6.4323314
"3208",3166,"Egypt",88,0.058076976,2761.485,256.4,5.159,97.999,NA,10550.206,8.38,39.9,-1.28,"EGY","Africa",32,8.38,43.52,5.8076976
"3285",3281,"El Salvador",88,0.030820753,14429.7,0,8.273,307.811,NA,7292.458,95.17333333,44.2,0.04,"SLV","North America",24.6,95.17333333,32.41,3.0820753
"3363",3289,"Equatorial Guinea",88,0.013341101,6410.8266,60.8,2.846,45.194,134.553,22604.873,23.84,16.2,-1.86,"GNQ","Africa",8,23.84,NA,1.3341101
"3440",3431,"Eritrea",88,0.005632177,1843.8068,1.2,3.607,44.304,NA,1510.459,NA,22.4,-2.18," "," ",5,0,50.93,0.5632177
"3525",3482,"Estonia",88,0.00912254,106642.2274,323,19.452,31.033,1324.8326,29481.252,95.436,57,1.21,"EST","Europe",21.2,95.436,23.15,0.912254
"3603",3587,"Ethiopia",88,0.015188659,2594.771,1284.2,3.526,104.957,27.3598,1729.927,2.07,40.6,-1.16,"ETH","Africa",4.5,2.07,43.52,1.5188659
"3687",3685,"Finland",88,0.008121809,22715.501,579.4,21.228,18.136,1186.3392,40585.721,122.27,68.7,1.61,"FIN","Europe",22.2,122.27,38.058,0.8121809
"3772",3726,"France",88,0.018474116,100908.5676,11486,19.718,122.578,NA,38605.671,129.012,68.2,1.18,"FRA","Europe",21.6,129.012,66.67,1.8474116
"3850",3832,"Gabon",88,0.006397789,11330.9952,25.2,4.45,7.859,473.298,16562.413,NA,20,-0.95,"GAB","Africa",15,5.675,66.11,0.6397789
"3928",3922,"Gambia",88,0.032730757,3867.247,33,2.339,207.566,40.7155,1561.767,NA,34.2,-0.2,"GMB","Africa",10.3,14.13,43.06,3.2730757
"4008",4006,"Georgia",88,0.013358089,136420.4944,3528,14.864,65.032,2010.165,9745.079,29.49,52,0.25,"GEO","Asia",21.7,29.49,64.81,1.3358089
"4095",4049,"Germany",88,0.023379456,46988.3012,8486.2,21.453,237.016,838.014,45229.245,121.044,66,1.42,"DEU","Europe",22.3,121.044,63.89,2.3379456
"4173",4157,"Ghana",88,0.008592721,3718.7168,599,3.385,126.719,NA,4227.63,NA,35.5,0.58,"GHA","Africa",10.9,4.01,44.44,0.8592721
"4260",4214,"Greece",88,0.023324037,56106.7202,2871.8,20.396,83.479,1481.2508,24574.382,109.506,53.8,0.86,"GRC","Europe",24.9,109.506,62.5,2.3324037
"4342",4297,"Guatemala",88,0.025487973,25478.595,3002.8,4.694,157.834,119.8558,7423.808,24.38,32.7,-0.34,"GTM","North America",21.2,24.38,52.78,2.5487973
"4420",4404,"Guinea",88,0.011260146,2171.23,58.4,3.135,51.755,NA,1998.926,8.37,32.7,-0.75,"GIN","Africa",7.7,8.37,51.85,1.1260146
"4496",4493,"Guinea-Bissau",88,0.020292668,2855.6828,24.6,3.002,66.191,NA,1548.675,NA,20,-0.67," "," ",9.5,1.54,NA,2.0292668
"4573",4568,"Haiti",88,0.028030117,1806.4092,12.6,4.8,398.448,NA,1653.173,0.27,31.5,-0.75,"HTI","North America",22.7,0.27,55.56,2.8030117
"4651",4606,"Honduras",88,0.026255521,33433.3896,973.4,4.652,82.805,NA,4541.795,40.52,27.6,-0.51,"HND","North America",21.4,40.52,76.85,2.6255521
"4731",4689,"Hungary",88,0.03701916,84276.8058,164,18.577,108.043,634.304,26777.561,118.0266667,54,0.32,"HUN","Europe",26.4,118.0266667,25,3.701916
"4815",4814,"India",88,0.013387243,23490.9688,41531.4,5.989,450.419,372.062,6426.674,45.33,46.5,0.38,"IND","Asia",3.9,45.33,70.83,1.3387243
"4895",4894,"Indonesia",88,0.032387079,14738.4028,9213,5.319,145.725,76.854,11188.744,35.032,56.6,0.18,"IDN","Asia",6.9,35.032,68.98,3.2387079
"4976",4934,"Iran",88,0.021611921,57967.7584,31785.6,5.44,49.831,337.126,19082.62,31.305,37.7,-1.32,"IRN","Asia",25.8,31.305,63.42333333,2.1611921
"5057",5057,"Iraq",88,0.011038146,45533.1752,6473.8,3.186,88.125,346.7164,15663.986,8.18,25.8,-0.99,"IRQ","Asia",30.4,8.18,NA,1.1038146
"5137",5136,"Ireland",88,0.014570633,70136.6912,1650.4,13.928,69.874,1336.2172,67335.293,136.486,59,1.32,"IRL","Europe",25.3,136.486,48.15,1.4570633
"5218",5176,"Israel",88,0.006649189,119681.5936,7616.2,11.733,402.606,2626.5232,33132.32,153.774,47.3,0.65,"ISR","Asia",26.1,153.774,45.37,0.6649189
"5302",5288,"Italy",88,0.028504201,75028.6924,6076,23.021,205.859,1384.4508,35220.084,128.08,56.2,1.05,"ITA","Europe",19.9,128.08,61.668,2.8504201
"5380",5380,"Jamaica",88,0.022475781,22386.632,767.4,9.684,266.879,183.7316,8193.571,17.3575,29,0.62,"JAM","North America",24.7,17.3575,68.15,2.2475781
"5465",5383,"Japan",88,0.010965736,11557.9738,19494.6,27.049,347.778,163.7614,39002.223,102.3633333,59.8,1.02,"JPN","Asia",4.3,102.3633333,52.31,1.0965736
