"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","X...iso_code","continent","Obesity_rate","Vaccinationph2","vml","vml2","lw","TTs","TTs2","GDP2","PopulationDensity2","PopulationDensity22","GHSI2","WGI2","Age65Older2","Age65Older22","Obesity_rate2","Obesity_rate22","CFR2","CFR22","SI2","CFRprcnt"
"1695",1605,"Bolivia",103,0.034886548,46814.83957,1524.714286,6.704,10.202,244.2122857,6885.829,76.79285714,26.85,35.8,-0.04,"BOL","South America",20.2,76.79285714,76.79285714,0.777253321189544,4.63472898822964,244.2122857,-0.26724410870642,-0.593076548725834,10.202,-0.273564582477563,-0.481898135847634,0.139100379415876,6.704,-0.316414190786593,20.2,0.266327134013787,0.00034886548,0.292420907418575,-1.29955663495297,3.4886548
"1807",1753,"Bosnia and Herzegovina",103,0.046059079,86425.52043,473.5714286,16.569,68.496,439.6548,11713.895,NA,35.19,42.8,-0.24,"BIH","Europe",17.9,46.475,46.475,0.244521654105789,4.63472898822964,439.6548,-0.135235736973652,-0.341158309069196,68.496,-0.188273852552289,-0.00527663142269507,-0.0590792850682565,16.569,1.21991843062466,17.9,0.0152573142906067,0.00046059079,0.651469275483517,-0.899951653222313,4.6059079
"1916",1831,"Botswana",103,0.012292527,82208.34929,539.1428571,3.941,4.044,819.137,15807.374,NA,21.3,31.1,0.47,"BWA","Africa",18.9,47.06,47.06,0.254801009398113,4.63472898822964,819.137,0.121079156963263,-0.127569260420852,4.044,-0.282574434518594,-0.801915431675807,0.644458523850415,3.941,-0.746711913336951,18.9,0.124418105474598,0.00012292527,-0.433676551436097,-1.5654808134428,1.2292527
"2029",2047,"Brazil",103,0.027806106,103732.4716,3893.142857,8.552,25.04,NA,14103.452,150.1328571,61.57,59.7,0.39,"BRA","South America",22.1,150.1328571,150.1328571,2.06595061474152,4.63472898822964,NA,NA,-0.216476294987533,25.04,-0.251854906513807,1.1454238578318,0.565186658056762,8.552,-0.0286146282556259,22.1,0.473732637263371,0.00027806106,0.0648788092781909,0.364026694266276,2.7806106
"2141",2156,"Bulgaria",103,0.041367453,103931.5644,1493.571429,20.801,65.18,1010.109667,18563.307,50.95857143,50,45.6,0.32,"BGR","Europe",25,50.95857143,50.95857143,0.323304942494652,4.63472898822964,1010.109667,0.250068445227521,0.0162294759617161,65.18,-0.193125536437976,0.185371970347281,0.495823775487316,20.801,1.87899188767609,25,0.790298931696947,0.00041367453,0.500695859963699,-0.190341367918825,4.1367453
"2253",2264,"Burkina Faso",103,0.017754352,766.5624286,48.28571429,2.409,70.151,NA,1703.102,3.61,13.89,30.1,-0.04,"BFA","Africa",5.6,3.61,3.61,-0.508682729835219,4.63472898822964,NA,NA,-0.863500246840344,70.151,-0.185852399949512,-0.870004218022227,0.139100379415876,2.409,-0.985298996560675,5.6,-1.32742041727249,0.00017754352,-0.258151475434401,-1.92052552742652,1.7754352
"2362",2282,"Burundi",103,0.001818039,1705.774571,116,2.562,423.062,NA,702.225,0.04,16.67,22.8,-1.65,"BDI","Africa",5.4,0.04,0.04,-0.571413154439661,4.63472898822964,NA,NA,-0.915723885032701,423.062,0.330496397330799,-1.36705235835109,-1.45624591968139,2.562,-0.961471435377105,5.4,-1.34925257550929,0.00001818039,-0.77029211533257,-1.78732386684963,0.1818039
"2480",2445,"Cambodia",103,0.024827778,7102.744857,12.14285714,4.412,90.672,NA,3645.07,174.3583333,46.3,39.2,-1.22," "," ",3.9,174.3583333,174.3583333,2.49162972069973,4.63472898822964,NA,NA,-0.762172477081289,90.672,-0.155827850788422,-0.250396262269806,-1.03015964104051,4.412,-0.673360401458117,3.9,-1.51299376228527,0.00024827778,-0.030834848438411,-0.367624153578711,2.4827778
"2592",2563,"Cameroon",103,0.016994538,3952.262571,16.14285714,3.165,50.885,NA,3364.926,3.62,25.79428571,34.4,-1.1,"CMR","Africa",11.4,3.62,3.62,-0.508507014360137,4.63472898822964,NA,NA,-0.77678979658984,50.885,-0.214040741849884,-0.577222436732622,-0.911251842350028,3.165,-0.867562811888916,11.4,-0.694287828405338,0.00016994538,-0.282569396202121,-1.35014041068058,1.6994538
"2710",2636,"Canada",103,0.016262266,48581.71686,5543.857143,16.984,4.037,1317.551286,44017.591,166.9514286,65.28,75.3,1.52,"CAN","North America",29.4,166.9514286,166.9514286,2.36147894287462,4.63472898822964,1317.551286,0.457724735735425,1.34438000600835,4.037,-0.28258467631208,2.20760892483595,1.68490176239211,16.984,1.28454874363892,29.4,1.27060641290651,0.00016262266,-0.306102207753922,0.541788622590107,1.6262266
"2821",2791,"Central African Republic",103,0.008458996,2426.835857,31.28571429,3.655,7.479,NA,661.24,NA,24.07,27.3,-1.19," "," ",7.5,8.88,8.88,-0.416080674466758,4.63472898822964,NA,NA,-0.917862395370448,7.479,-0.277548640143644,-1.0606528197922,-1.00043269136789,3.655,-0.791252321823887,7.5,-1.1200149140229,0.00008458996,-0.55687361837432,-1.43275829552986,0.8458996
