"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","X...iso_code","continent","Obesity_rate","Vaccinationph2","vml","vml2","lw","TTs","TTs2","GDP2","PopulationDensity2","PopulationDensity22","GHSI2","WGI2","Age65Older2","Age65Older22","Obesity_rate2","Obesity_rate22","CFR2","CFR22","SI2","CFRprcnt"
"6323",6243,"Guinea-Bissau",103,0.023102314,3200.001714,1.428571429,3.002,66.191,NA,1548.675,20.16,NA,20,-0.67," "," ",9.5,20.16,20.16,-0.217873618573731,4.63472898822964,NA,NA,-0.871557920036083,66.191,-0.191646328835916,-1.55770096012107,-0.485165563709142,3.002,-0.892947730012589,9.5,-0.901693331654922,0.00023102314,-0.0862855814330036,NA,2.3102314
"6433",6345,"Haiti",103,0.029472795,2235.883571,23.28571429,4.8,398.448,NA,1653.173,1.65,64.81,31.5,-0.75,"HTI","North America",22.7,1.65,1.65,-0.543122962951384,4.63472898822964,NA,NA,-0.866105436120652,398.448,0.294483325207069,-0.774679917137239,-0.564437429502795,4.8,-0.612934952182135,22.7,0.539229111973766,0.00029472795,0.118440707251156,0.519268917384662,2.9472795
"6544",6549,"Honduras",103,0.027524756,37618.29829,37.42857143,4.652,82.805,NA,4541.795,NA,63.89,27.6,-0.51,"HND","North America",21.4,89.74,89.74,1.0047546570501,4.63472898822964,NA,NA,-0.715383269258509,82.805,-0.167338163553409,-1.04022618388828,-0.326621832121836,4.652,-0.635983834895654,21.4,0.397320083434577,0.00027524756,0.0558371464396566,0.475187792301664,2.7524756
"6657",6656,"Hungary",103,0.030801604,124135.0014,5325.714286,18.577,108.043,872.8812,26777.561,NA,42.33,54,0.32,"HUN","Europe",26.4,152.12,152.12,2.10086779061454,4.63472898822964,872.8812,0.157379776393435,0.444831820621566,108.043,-0.130412108696064,0.757317775657208,0.495823775487316,18.577,1.53263570419727,26.4,0.943124039354535,0.00030801604,0.161144254273761,-0.557843791165128,3.0801604
"6774",6678,"India",103,0.013713052,24906.02143,7343.714286,5.989,450.419,471.3125714,6426.674,95.98142857,50.79428571,46.5,0.38,"IND","Asia",3.9,95.98142857,95.98142857,1.11442621568718,4.63472898822964,471.3125714,-0.113853025693202,-0.617034282387624,450.419,0.370522789387712,0.246651878059059,0.555277674832555,5.989,-0.427765212003932,3.9,-1.51299376228527,0.00013713052,-0.388025554088634,-0.15228375081649,1.3713052
"6887",6793,"Indonesia",103,0.033796473,15412.02529,185.2857143,5.319,145.725,142.1034286,11188.744,90.61714286,63.43,56.6,0.18,"IDN","Asia",6.9,90.61714286,90.61714286,1.02016741448611,4.63472898822964,142.1034286,-0.336211825446773,-0.368559573980223,145.725,-0.075279071247198,0.9343486201579,0.357098010348423,5.319,-0.532108126990808,6.9,-1.1855113887333,0.00033796473,0.257389485279903,0.453147229760165,3.3796473
"7001",6908,"Iran",103,0.021237037,72419.88314,2511.714286,5.44,49.831,472.265,19082.62,129.14,62.69571429,37.7,-1.32,"IRN","Asia",25.8,129.14,129.14,1.69707362887503,4.63472898822964,472.265,-0.113209723752843,0.0433261264198514,49.831,-0.215582863326215,-0.352529441789436,-1.12924947328257,5.44,-0.513264108015566,25.8,0.87762756464414,0.00021237037,-0.146229444004436,0.417964468641503,2.1237037
"7115",7059,"Iraq",103,0.011488706,50714.39457,423.8571429,3.186,88.125,402.56075,15663.986,32.215,68.52,25.8,-0.99,"IRQ","Asia",30.4,32.215,32.215,-0.00604861336181373,4.63472898822964,402.56075,-0.160290291552076,-0.135050942019215,88.125,-0.159554400503996,-1.16278599931183,-0.802253026883755,3.186,-0.864292362314701,30.4,1.3797672040905,0.00011488706,-0.459508712319458,0.697030845708493,1.1488706
"7228",7176,"Ireland",103,0.009241483,126001.3669,4241.857143,13.928,69.874,1887.785857,67335.293,177.1771429,50,59,1.32,"IRL","Europe",25.3,177.1771429,177.1771429,2.54116056750283,4.63472898822964,1887.785857,0.842880122694358,2.56104822070924,69.874,-0.186257682348889,1.09776170738931,1.48672209790798,13.928,0.808620462743552,25.3,0.823047169052144,0.00009241483,-0.531727062022672,-0.190341367918825,0.9241483
"7342",7285,"Israel",103,0.006083858,145422.083,640.1428571,11.733,402.606,3439.965286,33132.32,176.4071429,56.48,47.3,0.65,"ISR","Asia",26.1,176.4071429,176.4071429,2.52763047592148,4.63472898822964,3439.965286,1.89127371194623,0.776409661670586,402.606,0.300566950537794,0.301122907136194,0.822820221886135,11.733,0.466780614391023,26.1,0.910375801999337,0.00006083858,-0.633202735100783,0.120143078317947,0.6083858
"7459",7372,"Italy",103,0.02573979,86859.58657,20485.71429,23.021,205.859,2096.565286,35220.084,170.4157143,76.85,56.2,1.05,"ITA","Europe",19.9,170.4157143,170.4157143,2.42235180363431,4.63472898822964,2096.565286,0.983896690007251,0.885344757358694,205.859,0.0127037872515571,0.907113105619332,1.2191795508544,23.021,2.22472512837888,19.9,0.23357889665859,0.0002573979,-0.00152578496338962,1.09615668477521,2.573979
"7570",7502,"Jamaica",103,0.026438624,30872.23871,46.57142857,9.684,266.879,230.172,8193.571,39.226,75.93,29,0.62,"JAM","North America",24.7,39.226,39.226,0.117145506218506,4.63472898822964,230.172,-0.276727384443831,-0.524841345941727,266.879,0.101982964182978,-0.944901883003289,0.793093272213515,9.684,0.147678177363992,24.7,0.757550694341749,0.00026438624,0.0209324393412281,1.05207555969221,2.6438624
"7688",7627,"Japan",103,0.010630268,13709.85514,126,27.049,347.778,216.1471429,39002.223,157.348,47.22,59.8,1.02,"JPN","Asia",4.3,157.348,157.348,2.19273184098766,4.63472898822964,216.1471429,-0.286200239191872,1.08268874541037,347.778,0.220347371501479,1.15223273646644,1.18945260118178,27.049,2.85202850385222,4.3,-1.46932944581168,0.00010630268,-0.48709608379195,-0.323543028495712,1.0630268
"7801",7745,"Jordan",103,0.011835714,98861.174,4193.142857,3.81,109.285,1248.02325,8337.49,78.53166667,34.26,42.1,-0.7,"JOR","Asia",35.5,78.53166667,78.53166667,0.807806895453732,4.63472898822964,1248.02325,0.410763188730105,-0.517331957890043,109.285,-0.128594921908964,-0.0529387818651887,-0.514892513381762,3.81,-0.767113289252296,35.5,1.93648723912886,0.00011835714,-0.448357017497086,-0.944511920969257,1.1835714
"7912",7830,"Kazakhstan",103,0.016958516,56009.04343,556.1428571,6.991,6.681,NA,24055.588,90.264,71.3,40.7,-1.17,"KAZ","Asia",21,90.264,90.264,1.01396214794442,4.63472898822964,NA,NA,0.302805044982438,6.681,-0.278716204601056,-0.148263082750176,-0.980614724919474,6.991,-0.271718046605647,21,0.35365576696098,0.00016958516,-0.283727024703169,0.83023250628538,1.6958516
"8024",7941,"Kenya",103,0.020821505,4671.009143,394.4285714,2.686,87.324,NA,2993.028,15.122,41.67,47.1,-0.36,"KEN","Africa",7.1,15.122,15.122,-0.30639907492028,4.63472898822964,NA,NA,-0.796194645134127,87.324,-0.160726354301473,0.287505149866911,-0.177987083758736,2.686,-0.942160209319832,7.1,-1.1636792304965,0.00020821505,-0.159583274616207,-0.58946720698554,2.0821505
"8138",8068,"Kuwait",103,0.005960103,95586.51271,40.42857143,2.345,232.128,1291.975429,65530.537,154.745,30.56,46.1,-0.59,"KWT","Asia",37.9,154.745,154.745,2.14699310282369,4.63472898822964,1291.975429,0.440449951636722,2.46687988197283,232.128,0.0511383119780645,0.219416363520491,-0.405893697915489,2.345,-0.995266080977332,37.9,2.19847313797044,0.00005960103,-0.637179813418121,-1.12179470662914,0.5960103
"8248",8255,"Kyrgyzstan",103,0.015062196,27757.96571,40.57142857,4.489,32.333,NA,3393.474,31.932,45.89714286,49.3,-0.37,"KGZ","Asia",16.6,31.932,31.932,-0.0110213613066477,4.63472898822964,NA,NA,-0.775300222523181,32.333,-0.241184420814678,0.437300479829034,-0.187896066982943,4.489,-0.661368753019327,16.6,-0.126651714248582,0.00015062196,-0.34466850710576,-0.386926757903622,1.5062196
"8358",8332,"Laos",103,0.002733646,12262.06171,1435.857143,4.029,29.715,103.4215714,6397.36,NA,68.52,43.1,-1.74," "," ",5.3,79,79,0.816036236811522,4.63472898822964,103.4215714,-0.362338837795444,-0.618563824708979,29.715,-0.245014851578468,0.0151500044812312,-1.54542676869925,4.029,-0.733007172264048,5.3,-1.36016865462769,0.00002733646,-0.740867520391743,0.697030845708493,0.2733646
"8474",8382,"Latvia",103,0.016695912,140675.3381,708.1428571,19.754,31.212,2896.962571,25063.846,129.1228571,40.74,62.9,0.81,"LVA","Europe",23.6,129.1228571,129.1228571,1.69677240159325,4.63472898822964,2896.962571,1.52451162586503,0.355413808093738,31.212,-0.242824570885804,1.36330797414034,0.981363953473441,19.754,1.71593661604735,23.6,0.637473824039359,0.00016695912,-0.292166252810687,-0.634027474732484,1.6695912
"8588",8493,"Lebanon",103,0.012818564,102120.2976,1572.285714,8.514,594.561,NA,13367.565,56.47857143,31.48,43.1,-0.5,"LBN","Asia",32,56.47857143,56.47857143,0.420299884740176,4.63472898822964,NA,NA,-0.254873317237478,594.561,0.581418874626139,0.0151500044812312,-0.316712848897629,8.514,-0.0345325846280159,32,1.55442446998489,0.00012818564,-0.416771453890001,-1.07771358154614,1.2818564
"8690",8645,"Lesotho",103,0.028768665,10699.33057,295,4.506,73.562,NA,2851.153,31.87,49.60428571,30.2,0.08," "," ",16.6,31.87,31.87,-0.012110797252159,4.63472898822964,NA,NA,-0.803597381602785,73.562,-0.180861720295086,-0.863195339387585,0.258008178106356,4.506,-0.658721246221152,16.6,-0.126651714248582,0.00028768665,0.0958122869401659,-0.209301727826021,2.8768665
"8801",8746,"Liberia",103,0.049142662,1127.395571,1.714285714,3.057,49.127,NA,752.788,16.99,39.02142857,35.1,-0.04,"LBR","Africa",9.9,16.99,16.99,-0.273575424174875,4.63472898822964,NA,NA,-0.913085614977619,49.127,-0.216612895128243,-0.529560286290128,0.139100379415876,3.057,-0.884382266842024,9.9,-0.858029015181325,0.00049142662,0.750565482416646,-0.716371564047591,4.9142662
"8913",8831,"Libya",103,0.014679633,54433.21171,513,4.424,3.623,NA,17881.509,36.58,42.59,25.7,-1.52,"LBY","Africa",32.5,36.58,36.58,0.0706511915116844,4.63472898822964,NA,NA,-0.0193452970346384,3.623,-0.283190405241113,-1.16959487794647,-1.32742913776671,4.424,-0.671491573129994,32.5,1.60900486557688,0.00014679633,-0.356962822586472,-0.545386081902541,1.4679633
"9026",8971,"Lithuania",103,0.014204813,183094.9481,1631.285714,19.002,45.135,2469.568857,29524.265,144.9285714,46.3,55,0.92,"LTU","Europe",26.3,144.9285714,144.9285714,1.97450326131748,4.63472898822964,2469.568857,1.23583570253262,0.588149007366288,45.135,-0.222453643642013,0.825406562003628,1.09036276893971,19.002,1.59882337415163,26.3,0.932207960236136,0.00014204813,-0.372221974351152,-0.367624153578711,1.4204813
"9136",9075,"Madagascar",103,0.021442504,1605.918857,142,2.929,43.951,10.493,1416.44,NA,13.89,40.1,-0.31," "," ",5.3,2.61,2.61,-0.526254277343466,4.63472898822964,10.493,-0.425105884371278,-0.878457661758958,43.951,-0.224185969854513,-0.189116354558028,-0.128442167637703,2.929,-0.904316435675338,5.3,-1.36016865462769,0.00021442504,-0.139626410990592,-1.92052552742652,2.1442504
"9245",9167,"Malawi",103,0.03690065,3184.512286,188.5714286,2.979,197.519,NA,1095.042,7.958571429,39.81,28,-0.06,"MWI","Africa",5.8,7.958571429,7.958571429,-0.43227160037754,4.63472898822964,NA,NA,-0.89522752745449,197.519,0.00050142186958323,-1.01299066934971,0.119282412967463,2.979,-0.896529650974825,5.8,-1.30558825903569,0.0003690065,0.357147515580712,-0.678587742479428,3.690065
"9363",9359,"Malaysia",103,0.011471739,82238.41386,4133.857143,6.293,96.254,1212.736857,26808.164,168.41,53.24,62.2,-0.08,"MYS","Asia",15.6,168.41,168.41,2.38710829952389,4.63472898822964,1212.736857,0.386929585785853,0.446428620227911,96.254,-0.147660752039959,1.31564582369785,0.0994644465190498,6.293,-0.380421561024811,15.6,-0.235812505432574,0.00011471739,-0.460053975846671,-0.0350991448004388,1.1471739
"9472",9478,"Mali",103,0.033766543,894.8347143,87,2.519,15.196,NA,2014.306,4.75,42.32571429,29,-0.31,"MLI","Africa",8.6,4.75,4.75,-0.488651165675818,4.63472898822964,NA,NA,-0.847262282435114,15.196,-0.266257794381931,-0.944901883003289,-0.128442167637703,2.519,-0.968168070219546,8.6,-0.999938043720514,0.00033766543,0.256427633604917,-0.558049137815758,3.3766543
"9583",9588,"Mauritania",103,0.021338997,8344.639429,37.14285714,3.138,4.289,NA,3597.633,38.03,44.44,27.5,-0.85,"MRT","Africa",12.7,38.03,38.03,0.0961299353986426,4.63472898822964,NA,NA,-0.764647639089139,4.289,-0.282215971746582,-1.04703506252292,-0.663527261744862,3.138,-0.871767675627193,12.7,-0.552378799866149,0.00021338997,-0.14295278524127,-0.456744689072599,2.1338997
"9693",9607,"Mauritius",103,0.011132178,50011.68957,508.6666667,10.945,622.962,NA,20292.745,NA,46.42714286,34.9,0.76,"MUS","Africa",10.8,145.375,145.375,1.98234770267142,4.63472898822964,NA,NA,0.106467881268374,622.962,0.622972757025832,-0.543178043559412,0.931819037352408,10.945,0.344060887510935,10.8,-0.759784303115733,0.00011132178,-0.470966348603435,-0.361532196714504,1.1132178
"9814",9712,"Mexico",103,0.075716783,30085.34529,2221.571429,6.857,66.444,89.85257143,17336.469,105.944,32.80714286,57.6,-0.01,"MEX","North America",28.9,105.944,105.944,1.28948401287373,4.63472898822964,89.85257143,-0.371503791482707,-0.0477843277650496,66.444,-0.191276161157063,1.00243740650432,0.168827329088496,6.857,-0.292586629603023,28.9,1.21602601731451,0.00075716783,1.60457025338665,-1.01412450500846,7.5716783
"9926",9834,"Moldova",103,0.025375655,91979.58314,416.1428571,10.864,123.655,NA,5189.972,41.894,49.07,42.9,-0.11,"MDA","Europe",18.9,41.894,41.894,0.164026394970509,4.63472898822964,NA,NA,-0.681562768704888,123.655,-0.107569982995419,0.00153224721194702,0.0697374968464299,10.864,0.331446296296104,18.9,0.124418105474598,0.00025375655,-0.013227885186278,-0.234901635665769,2.5375655
"10038",9972,"Mongolia",103,0.002981131,205123.6359,738.4285714,4.031,1.98,1887.8475,11840.846,137.706,37.23714286,49.5,0.26," "," ",20.6,137.706,137.706,1.84759150483067,4.63472898822964,1887.8475,0.842921758425907,-0.334534275254693,1.98,-0.285594300483629,0.450918237098318,0.436369876142076,4.031,-0.732695700876028,20.6,0.309991450487384,0.00002981131,-0.732914167174772,-0.801864304880544,0.2981131
"10154",10084,"Morocco",103,0.015549247,25483.03271,156.7142857,6.769,80.08,257.579,7485.013,132.265,70.37,43.7,-0.66,"MAR","Africa",26.1,132.265,132.265,1.7519847148383,4.63472898822964,257.579,-0.258215785485753,-0.561812398958531,80.08,-0.1713251474462,0.0560032762890832,-0.475256580484936,6.769,-0.306291370675926,26.1,0.910375801999337,0.00015549247,-0.329016291263674,0.785672238538436,1.5549247
"10264",10204,"Mozambique",103,0.01259766,4799.554429,591.8571429,3.158,37.728,NA,1136.103,36.93,37.04,28.1,-0.47," "," ",7.2,36.93,36.93,0.0768012331395708,4.63472898822964,NA,NA,-0.893085051598,37.728,-0.233290924263629,-1.00618179071507,-0.286985899225009,3.158,-0.868652961746988,7.2,-1.1527631513781,0.0001259766,-0.423870581267587,-0.81131026039237,1.259766
"10373",10309,"Myanmar",103,0.036413242,9614.346429,330.1428571,5.732,81.721,NA,5591.597,58.13,73.68,43.4,-0.89,"MMR","Asia",5.8,58.13,58.13,0.449318040314407,4.63472898822964,NA,NA,-0.660606828375551,81.721,-0.168924178430394,0.035576640385157,-0.703163194641688,5.732,-0.467789285364569,5.8,-1.30558825903569,0.00036413242,0.341483826933816,0.944268460304442,3.6413242
"10484",10418,"Namibia",103,0.026924241,51355.91886,560.5714286,3.552,3.078,317.168,9541.808,NA,25,35.6,0.49," "," ",17.2,24.36,24.36,-0.144073119039094,4.63472898822964,317.168,-0.217967393822569,-0.454493199980188,3.078,-0.283987802019672,-0.495515893116918,0.664276490298828,3.552,-0.807293098306944,17.2,-0.0611552395381873,0.00026924241,0.0365385711438246,-1.38819802778292,2.6924241
"10602",10532,"Nepal",103,0.014018418,27784.30414,231.7142857,5.809,204.43,185.0024286,2442.804,NA,54.17,20.8,-0.13," "," ",4.1,64.56,64.56,0.562303090792436,4.63472898822964,185.0024286,-0.307236414650167,-0.824904165985092,204.43,0.0106129982670438,-1.50322993104393,0.0499195303980166,5.809,-0.455797636925779,4.1,-1.49116160404848,0.00014018418,-0.378212096067124,0.00946112294650536,1.4018418
"10715",10648,"Netherlands",103,0.006947524,169594.791,15148.85714,18.779,508.544,1233.145,48472.545,150.03,56.48,35.1,1.6,"NLD","Europe",20.4,150.03,150.03,2.06414325632231,4.63472898822964,1233.145,0.400713924045973,1.57683005317658,508.544,0.455566253155966,-0.529560286290128,1.76417362818577,18.779,1.56409431438734,20.4,0.288159292250585,0.00006947524,-0.605447352918073,0.120143078317947,0.6947524
"10828",10747,"New Zealand",103,0.003609575,2547.534857,99.42857143,15.322,18.206,1029.718667,36085.843,154.2242857,64.61714286,54,1.62,"NZL","Oceania",30.8,154.2242857,154.2242857,2.13784334676302,4.63472898822964,1029.718667,0.263313015737571,0.930518225005344,18.206,-0.261853823182921,0.757317775657208,1.78399159463418,15.322,1.02571602019386,30.8,1.4234315205641,0.00003609575,-0.712718045756966,0.510028309002609,0.3609575
"10938",10916,"Nicaragua",103,0.012347209,2589.379143,9,5.445,51.667,NA,5321.444,106.315,8.33,43.1,-1.08,"NIC","North America",23.7,106.315,106.315,1.29600305699929,4.63472898822964,NA,NA,-0.674702838703074,51.667,-0.212896587206155,0.0151500044812312,-0.891433875901615,5.445,-0.512485429545515,23.7,0.648389903157758,0.00012347209,-0.431919251960936,-2.18692884858029,1.2347209
"11048",11052,"Niger",103,0.037510248,285.0571429,7.714285714,2.553,16.955,NA,926,NA,16.67,32.2,-0.58,"NER","Africa",5.5,3.87,3.87,-0.504114127483075,4.63472898822964,NA,NA,-0.904047780340022,16.955,-0.263684177990217,-0.727017766694745,-0.395984714691282,2.553,-0.962873056623197,5.5,-1.33833649639089,0.00037510248,0.376737988596688,-1.78732386684963,3.7510248
"11161",11149,"Nigeria",103,0.013659548,1032.678714,843.8571429,2.751,209.588,17.438,5338.454,5.695,37.96,37.8,-0.41,"NGA","Africa",8.9,5.695,5.695,-0.472046053280524,4.63472898822964,17.438,-0.420415000481621,-0.673815292995008,209.588,0.0181597369529217,-0.345720563154794,-0.227531999879769,2.751,-0.932037389209165,8.9,-0.967189806365317,0.00013659548,-0.389744996521593,-0.767229135309371,1.3659548
"11275",11187,"Norway",103,0.003575353,59149.95571,4805.714286,16.821,14.462,1624.194,64800.057,168.9214286,44.70857143,64.6,1.73,"NOR","Europe",23.1,168.9214286,168.9214286,2.39609489146586,4.63472898822964,1624.194,0.664841419246372,2.42876498551028,14.462,-0.267331719584613,1.47905891092926,1.89299041010045,16.821,1.25916382551524,23.1,0.582893428447363,0.00003575353,-0.71381782818334,-0.44387628602961,0.3575353
"11389",11313,"Oman",103,0.013497378,58338.87086,14.85714286,2.355,14.98,NA,37960.709,113.62,58.33,43.1,-1.03,"OMN","Asia",27,113.62,113.62,1.42436321154703,4.63472898822964,NA,NA,1.02834475478188,14.98,-0.266573826866644,0.0151500044812312,-0.841888959780581,2.355,-0.99370872403723,27,1.00862051406493,0.00013497378,-0.394956606482584,0.20878447114789,1.3497378
"11503",11427,"Pakistan",103,0.022363698,5726.507857,303.5714286,4.495,255.573,100.1865714,5034.708,60.15333333,54.17,35.5,-0.8,"PAK","Asia",8.6,60.15333333,60.15333333,0.484871138047522,4.63472898822964,100.1865714,-0.364523864344478,-0.689664114784674,255.573,0.0854410045896207,-0.50232477175156,-0.613982345623829,4.495,-0.660434338855265,8.6,-0.999938043720514,0.00022363698,-0.11002226826132,0.00946112294650536,2.2363698
"11615",11542,"Palestine",103,0.010427684,88896.66114,259.5714286,3.043,778.202,NA,4449.898,NA,25,21.9,NA,"PSE","Asia",NA,60.98,60.98,0.499396950712911,4.63472898822964,NA,NA,-0.720178259730828,778.202,0.850106474279744,-1.42833226606287,NA,3.043,-0.886562566558168,NA,NA,0.00010427684,-0.493606466676192,-1.38819802778292,1.0427684
"11727",11639,"Panama",103,0.015360332,109779.3716,247.7142857,7.918,55.133,985.445,22267.037,138.97,61.24571429,43.7,0.58,"PAN","North America",22.7,138.97,138.97,1.8698019408811,4.63472898822964,985.445,0.233409109147741,0.209482248762146,55.133,-0.207825436317195,0.0560032762890832,0.753457339316688,7.918,-0.127351058258133,22.7,0.539229111973766,0.00015360332,-0.335087397484189,0.348488782369386,1.5360332
"11837",11764,"Papua New Guinea",103,0.016223114,3938.838286,18.71428571,3.808,18.22,NA,3823.194,5.47,55.95285714,27.8,0.04," "," ",21.3,5.47,5.47,-0.47599965146988,4.63472898822964,NA,NA,-0.752878344706007,18.22,-0.261833339595949,-1.02660842661899,0.21837224520953,3.808,-0.767424760640317,21.3,0.386404004316178,0.00016223114,-0.307360424151485,0.0948854148959151,1.6223114
"11949",11876,"Paraguay",103,0.035593855,64243.63786,60.57142857,6.378,17.144,276.3962857,8827.01,87.6,40.74,35.7,0.05,"PRY","South America",20.3,87.6,87.6,0.967151545382447,4.63472898822964,276.3962857,-0.245505965134822,-0.491789842956917,17.144,-0.263407649566093,-0.488707014482276,0.228281228433736,6.378,-0.367184027033939,20.3,0.277243213132187,0.00035593855,0.315151426051363,-0.634027474732484,3.5593855
"12061",11987,"Peru",103,0.089504453,67589.35329,1255,7.151,25.129,626.111,12236.706,139.8885714,63.89,49.2,0.23,"PER","South America",19.47,139.8885714,139.8885714,1.88594266187591,4.63472898822964,626.111,-0.00929702067317664,-0.313879140393141,25.129,-0.251724689425198,0.430491601194393,0.406642926469456,7.151,-0.246800335564005,19.47,0.186639756449473,0.00089504453,2.04766058027122,0.475187792301664,8.9504453
"12178",12085,"Philippines",103,0.017725651,25544.87243,145.7142857,4.803,351.873,209.5597143,7599.188,88.7925,74.54,47.6,0.04,"PHL","Asia",6.4,88.7925,88.7925,0.988105615786031,4.63472898822964,209.5597143,-0.290649607470347,-0.555854989715825,351.873,0.22633882069083,0.321549543040121,0.21837224520953,4.803,-0.612467745100104,6.4,-1.2400917843253,0.00017725651,-0.259073831095069,0.985474729403767,1.7725651
"12290",12208,"Poland",103,0.023134577,101684.51,20485.28571,16.763,124.027,709.63,27216.445,117.6971429,44.44,55.4,0.72,"POL","Europe",23.1,117.6971429,117.6971429,1.4960049217123,4.63472898822964,709.63,0.0471144885536519,0.467731856514501,124.027,-0.107025704827302,0.852642076542195,0.892183104455581,16.763,1.25013115526265,23.1,0.582893428447363,0.00023134577,-0.0852487548178992,-0.456744689072599,2.3134577
"12403",12410,"Portugal",103,0.015590923,117788.503,4262.285714,21.502,112.371,2263.266,27936.896,181.0285714,43.52,60.3,1.2,"PRT","Europe",20.8,181.0285714,181.0285714,2.60883612636519,4.63472898822964,2263.266,1.09649189428328,0.505323461036657,112.371,-0.124079754094963,1.18627712963965,1.3678142992175,21.502,1.98816260917729,20.8,0.331823608724182,0.00015590923,-0.327676961814736,-0.500825814155597,1.5590923
"12516",12522,"Puerto Rico",103,NA,NA,NA,15.168,376.232,708.0338571,35044.67,NA,26.85,NA,0.49,"PRI","North America",NA,0,0,-0.572116016339991,4.63472898822964,708.0338571,0.0460364005745012,0.876192027033315,376.232,0.261978798908996,NA,0.664276490298828,15.168,1.00173272331628,NA,NA,NA,NA,-1.29955663495297,NA
"12628",12609,"Qatar",103,0.002496707,83781.40857,165.2857143,1.307,227.322,1274.857571,116935.6,173.176,56.74714286,41.2,-1.2,"QAT","Asia",35.1,173.176,173.176,2.47085429494819,4.63472898822964,1274.857571,0.428887981252611,5.14908699769962,227.322,0.0441065891932005,-0.114218689576966,-1.01034167459209,1.307,-1.15691973135999,35.1,1.89282292265526,0.00002496707,-0.748481959884543,0.132943032477393,0.2496707
"12741",12656,"Romania",103,0.032199597,93775.63686,808.4285714,17.85,85.129,849.107,23313.199,80.59142857,52.78,45.8,0.46,"ROU","Europe",22.5,80.59142857,80.59142857,0.844000099535259,4.63472898822964,849.107,0.141321891329432,0.264068762168481,85.129,-0.163937888116034,0.198989727616565,0.634549540626209,17.85,1.41941585465181,22.5,0.517396953736968,0.00032199597,0.206071147313146,-0.0571397073419381,3.2199597
"12858",12779,"Russia",103,0.028866407,67643.60657,28995.42857,14.178,8.823,1597.3295,24765.954,93.24142857,53.90428571,44.3,-1.06,"RUS","Europe",23.1,93.24142857,93.24142857,1.06628017551458,4.63472898822964,1597.3295,0.646696242823951,0.339870435603015,8.823,-0.275582215794319,0.0968565480969348,-0.871615909453201,14.178,0.847554386246117,23.1,0.582893428447363,0.00028866407,0.0989533930683479,-0.0032703823293969,2.8866407
"12969",12895,"Rwanda",103,0.013343031,7586.854143,73.28571429,2.974,494.869,274.8765,1854.211,NA,50.46,34.2,-1.13," "," ",5.8,51.755,51.755,0.337299424949333,4.63472898822964,274.8765,-0.246532478922563,-0.855615699844451,494.869,0.435558178024252,-0.590840194001906,-0.940978792022648,2.974,-0.897308329444876,5.8,-1.30558825903569,0.00013343031,-0.399916810975704,-0.168300805377326,1.3343031
"13082",13008,"Saudi Arabia",103,0.016089872,15571.84443,64.85714286,3.295,15.322,907.7497143,49045.411,136.1842857,59.91857143,49.3,-1.64,"SAU","Asia",35.4,136.1842857,136.1842857,1.82085262971424,4.63472898822964,907.7497143,0.180931130171141,1.60672098554559,15.322,-0.266073442099181,0.437300479829034,-1.44633693645719,3.295,-0.847317171667582,35.4,1.92557116001046,0.00016089872,-0.311642383419059,0.284899705831703,1.6089872
"13195",13120,"Senegal",103,0.025455381,4308.507857,8.714285714,3.008,82.328,52.715,2470.58,NA,21.3,37.9,0.24,"SEN","Africa",8.8,11.07,11.07,-0.377598985423697,4.63472898822964,52.715,-0.396587741881843,-0.823454873240398,82.328,-0.168036068623817,-0.338911684520152,0.416551909693662,3.008,-0.892013315848527,8.8,-0.978105885483716,0.00025455381,-0.0106657539921605,-1.5654808134428,2.5455381
"13308",13219,"Serbia",103,0.009572672,185620.169,1291.142857,17.366,80.291,1017.500143,14048.881,117.7,31.34571429,52.3,NA,"SRB","Europe",21.5,117.7,117.7,1.49605512538068,4.63472898822964,1017.500143,0.255060218417629,-0.219323693978413,80.291,-0.171016430528263,0.641566838868294,NA,17.366,1.34403977875084,21.5,0.408236162552976,0.00009572672,-0.521083737786556,-1.08414778282807,0.9572672
"13417",13334,"Sierra Leone",103,0.018832281,789.1994286,2,2.538,104.7,NA,1390.3,NA,29.63,38.2,-0.18,"SLE","Africa",8.7,10.67,10.67,-0.384627604426996,4.63472898822964,NA,NA,-0.879821591494928,104.7,-0.135303296642339,-0.318485048616226,0.000374614276983388,2.538,-0.965209092033351,8.7,-0.989021964602115,0.00018832281,-0.223510385752943,-1.16635497437609,1.8832281
"13535",13455,"Singapore",103,0.002913479,50195.41486,427.5714286,12.922,7915.731,NA,85535.383,201.1828571,44.44,58.7,-0.06,"SGP","Asia",6.1,201.1828571,201.1828571,2.96297811503753,4.63472898822964,NA,NA,3.51069029983417,7915.731,11.2931204769698,1.07733507148538,0.119282412967463,12.922,0.651950354569226,6.1,-1.27284002168049,0.00002913479,-0.735088279754664,-0.456744689072599,0.2913479
