"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph","covid_week"
"Angola",65,0.0243634365268364,664.389,62,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,0.26,67
"Angola",66,0.0241279595156335,673.396,69,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,0.4,67
"Angola",67,0.0239021192921127,696.307,168,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,0.55,67
"Angola",68,0.023575052223217,713.71,126,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,0.75,67
"Angola",69,0.0229627212660086,745.993,129,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,1.2,67
"Angola",70,0.0227065944064243,769.147,228,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,1.39,67
"Angola",72,0.0219350450603639,894.686,259,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,1.91,67
"Angola",73,0.0220647447253986,944.585,258,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,2.07,67
"Angola",74,0.0222381602794231,992.6135,326.5,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,2.46,67
"Angola",75,0.0221701253219878,1051.26,185,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,2.77,67
"Angola",76,0.0223697080228067,1100.3535,180,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,3.56,67
"Angola",77,0.0228054494731995,1123.371,131,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,4,67
"Angola",78,0.0229636365527272,1152.686,81.5,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,4.28,67
"Angola",79,0.0230751301375185,1174.852,57,2.405,23.89,NA,25.2,5819.495,-0.92,8.2,4.53,67
"Argentina",52,0.0268499522208414,35449.396,11650,11.198,16.177,96.686,58.6,18933.907,0.57,28.3,0,69
"Argentina",53,0.0266038926764088,35966.059,11586,11.198,16.177,98.169,58.6,18933.907,0.57,28.3,0.07,69
"Argentina",54,0.0264618482176428,36484.382,8222,11.198,16.177,100.146,58.6,18933.907,0.57,28.3,0.09,69
"Argentina",55,0.0257938023984959,38286.553,13035.5,11.198,16.177,105.834,58.6,18933.907,0.57,28.3,0.305,69
"Argentina",56,0.025249116773822,40253.06,11946.6666666667,11.198,16.177,112.950666666667,58.6,18933.907,0.57,28.3,0.526666666666667,69
"Argentina",57,0.0250643983963211,41548.8661428571,8921,11.198,16.177,117.963714285714,58.6,18933.907,0.57,28.3,0.667142857142857,69
"Argentina",58,0.0249020889984465,42861.7834,8288.2,11.198,16.177,123.92,58.6,18933.907,0.57,28.3,0.852,69
"Argentina",59,0.0248462231590079,44049.8788333333,6389.33333333333,11.198,16.177,129.869333333333,58.6,18933.907,0.57,28.3,1.145,69
"Argentina",60,0.0248179188835562,44918.4918571429,5492.85714285714,11.198,16.177,134.840714285714,58.6,18933.907,0.57,28.3,1.35142857142857,69
"Argentina",61,0.0247927979963077,45850.2857142857,6692.85714285714,11.198,16.177,140.341857142857,58.6,18933.907,0.57,28.3,1.63571428571429,69
"Argentina",62,0.0246708457929551,46785.291,5759.71428571429,11.198,16.177,145.436142857143,58.6,18933.907,0.57,28.3,2.37714285714286,69
"Argentina",63,0.0246137852435045,47776.5026666667,6512.5,11.198,16.177,150.513,58.6,18933.907,0.57,28.3,3.605,69
"Argentina",64,0.0244568005015347,48774.086,6979.28571428571,11.198,16.177,155.373142857143,58.6,18933.907,0.57,28.3,5.43428571428571,69
"Argentina",65,0.0242696464441878,49891.3998571429,7337.42857142857,11.198,16.177,160.540857142857,58.6,18933.907,0.57,28.3,7.01714285714286,69
"Argentina",66,0.023924929674711,51422.2661428571,12162.2857142857,11.198,16.177,166.464142857143,58.6,18933.907,0.57,28.3,8.21142857142857,69
"Argentina",67,0.0233854163878224,53447.4367142857,15785.7142857143,11.198,16.177,173.493857142857,58.6,18933.907,0.57,28.3,9.65571428571429,69
"Argentina",68,0.0226905457661504,56617.3471428571,22200.7142857143,11.198,16.177,181.774428571429,58.6,18933.907,0.57,28.3,12.0514285714286,69
"Argentina",69,0.0219108791404779,60229.4072857143,23944.5714285714,11.198,16.177,189.259857142857,58.6,18933.907,0.57,28.3,14.1028571428571,69
"Argentina",70,0.0215568440122394,63849.4862857143,22596.4285714286,11.198,16.177,195.742571428571,58.6,18933.907,0.57,28.3,16.0671428571429,69
"Argentina",71,0.0214186473307713,67048.4925714286,20091.2857142857,11.198,16.177,201.507142857143,58.6,18933.907,0.57,28.3,18.0357142857143,69
"Argentina",72,0.0214006971999276,70221.2417142857,20931.5714285714,11.198,16.177,207.054142857143,58.6,18933.907,0.57,28.3,20.29,69
"Argentina",73,0.0212699769993155,74069.3824285714,29277.2857142857,11.198,16.177,213.055142857143,58.6,18933.907,0.57,28.3,22.3228571428571,69
"Argentina",74,0.020921646664682,78929.3085714286,30881.5714285714,11.198,16.177,219.487714285714,58.6,18933.907,0.57,28.3,24.6571428571429,69
"Argentina",75,0.0206340696076113,83837.8581428571,31604.5714285714,11.198,16.177,225.605142857143,58.6,18933.907,0.57,28.3,27.29,69
"Argentina",76,0.0205836438556179,88190.7584285714,25958.4285714286,11.198,16.177,231.521714285714,58.6,18933.907,0.57,28.3,31.7871428571429,69
"Argentina",77,0.0207353079428023,91878.5935714286,22320.5714285714,11.198,16.177,236.837,58.6,18933.907,0.57,28.3,36.4128571428571,69
"Argentina",78,0.0209243322345244,94897.5767142857,18309.1428571429,11.198,16.177,241.144,58.6,18933.907,0.57,28.3,40.3185714285714,69
"Argentina",79,0.0210439157994314,97777.1551666667,19968.3333333333,11.198,16.177,NA,58.6,18933.907,0.57,28.3,43.9433333333333,69
"Armenia",66,0.0182465648181313,65009.716,1148,11.232,102.931,288.141,50.2,8787.58,-0.11,20.2,0.02,69
"Armenia",72,0.0193095270670862,73996.856,178,11.232,102.931,342.494,50.2,8787.58,-0.11,20.2,0.36,69
"Armenia",73,0.019573485465906,74533.432,131,11.232,102.931,349.845,50.2,8787.58,-0.11,20.2,0.65,69
"Armenia",74,0.0197884189089336,74900.598,68,11.232,102.931,357.754,50.2,8787.58,-0.11,20.2,0.9,69
"Armenia",75,0.0199069332902136,75132.777,81,11.232,102.931,364.907,50.2,8787.58,-0.11,20.2,1.13,69
"Armenia",76,0.0199749081458912,75316.36,37,11.232,102.931,372.077,50.2,8787.58,-0.11,20.2,1.57,69
"Armenia",77,0.0200605212696057,75499.606,41,11.232,102.931,380.481,50.2,8787.58,-0.11,20.2,1.87,69
"Armenia",78,0.0200600284533085,75669.691,60,11.232,102.931,388.043,50.2,8787.58,-0.11,20.2,2.17,69
"Australia",60,0.0314407769610371,1133.78975,4.5,15.504,3.202,541.3525,75.5,44648.71,1.43,20.1,0,75
"Australia",61,0.0314135401760497,1134.77285714286,5.57142857142857,15.504,3.202,554.5836,75.5,44648.71,1.43,20.1,0.0157142857142857,75
"Australia",62,0.0313567346462572,1136.82885714286,9.14285714285714,15.504,3.202,565.6422,75.5,44648.71,1.43,20.1,0.154285714285714,75
"Australia",63,0.0312776746085181,1139.70271428571,11.5714285714286,15.504,3.202,579.999,75.5,44648.71,1.43,20.1,0.36,75
"Australia",64,0.0311913508296517,1142.85671428571,11.5714285714286,15.504,3.202,587.7185,75.5,44648.71,1.43,20.1,0.692857142857143,75
"Australia",65,0.0311156846248095,1145.63585714286,8,15.504,3.202,598.3965,75.5,44648.71,1.43,20.1,1.18,75
"Australia",66,0.0310326958545244,1148.70014285714,13.4285714285714,15.504,3.202,609.9052,75.5,44648.71,1.43,20.1,2.25857142857143,75
"Australia",67,0.030953723888924,1151.62985714286,8.14285714285714,15.504,3.202,625.153,75.5,44648.71,1.43,20.1,3.42428571428571,75
"Australia",68,0.0308999855341038,1154.35842857143,13.4285714285714,15.504,3.202,634.659,75.5,44648.71,1.43,20.1,4.73428571428571,75
"Australia",69,0.0307856568986582,1159.193,22,15.504,3.202,643.9104,75.5,44648.71,1.43,20.1,6.23714285714286,75
"Australia",70,0.0306200895516149,1165.46185714286,22.8571428571429,15.504,3.202,653.8604,75.5,44648.71,1.43,20.1,7.70428571428571,75
"Australia",71,0.0304836008697792,1170.67771428571,13.5714285714286,15.504,3.202,666.2098,75.5,44648.71,1.43,20.1,9.03,75
"Australia",72,0.0303977574262239,1173.983,9.14285714285714,15.504,3.202,678.7818,75.5,44648.71,1.43,20.1,10.6114285714286,75
"Australia",73,0.0303498134170528,1175.83728571429,6,15.504,3.202,691.5395,75.5,44648.71,1.43,20.1,12.3571428571429,75
"Australia",74,0.0302985838273722,1177.82628571429,10.7142857142857,15.504,3.202,703.7852,75.5,44648.71,1.43,20.1,14.3642857142857,75
"Australia",75,0.0302176559483817,1180.98057142857,9.57142857142857,15.504,3.202,723.3158,75.5,44648.71,1.43,20.1,16.89,75
"Australia",76,0.0301340380444794,1184.25742857143,12.4285714285714,15.504,3.202,745.8972,75.5,44648.71,1.43,20.1,20.08,75
"Australia",77,0.0300595267107441,1187.19342857143,11.5714285714286,15.504,3.202,759.339,75.5,44648.71,1.43,20.1,23.1657142857143,75
"Australia",78,0.0299667839778693,1190.8685,16.8333333333333,15.504,3.202,779.026,75.5,44648.71,1.43,20.1,26.0516666666667,75
"Australia",79,0.0297705462313187,1198.72466666667,38.6666666666667,15.504,3.202,NA,75.5,44648.71,1.43,20.1,29.1266666666667,75
"Austria",52,0.0168473024866899,39258.305,1622.66666666667,19.202,106.749,419.322666666667,58.5,45436.686,1.38,29,0.0233333333333333,73
"Austria",53,0.0172124874561898,39900.3485,2731.5,19.202,106.749,424.534,58.5,45436.686,1.38,29,0.06,73
"Austria",54,0.0173702719552031,40876.2021428571,1987.85714285714,19.202,106.749,424.116666666667,58.5,45436.686,1.38,29,0.0757142857142857,73
"Austria",55,0.0177034570928397,42472.7654285714,2075.71428571429,19.202,106.749,584.076714285714,58.5,45436.686,1.38,29,0.514285714285714,73
"Austria",56,0.0180620201622546,43878.8765714286,1505.42857142857,19.202,106.749,875.405,58.5,45436.686,1.38,29,1.55714285714286,73
"Austria",57,0.0183927916146011,45078.833,1490.28571428571,19.202,106.749,980.378714285714,58.5,45436.686,1.38,29,2.44857142857143,73
"Austria",58,0.0187451627396793,46152.9738571429,1367.28571428571,19.202,106.749,1053.95014285714,58.5,45436.686,1.38,29,3.09571428571429,73
"Austria",59,0.0189341591674978,47192.4725714286,1334,19.202,106.749,1169.46471428571,58.5,45436.686,1.38,29,4.21142857142857,73
"Austria",60,0.0189343434533785,48302.5722857143,1528.85714285714,19.202,106.749,1332.96557142857,58.5,45436.686,1.38,29,5.45,73
"Austria",61,0.0188245952181358,49627.0431428571,1846.57142857143,19.202,106.749,1500.51842857143,58.5,45436.686,1.38,29,6.57,73
"Austria",62,0.0186084958780473,51204.905,2125.57142857143,19.202,106.749,1680.08842857143,58.5,45436.686,1.38,29,8.05,73
"Austria",63,0.0182980052262615,53001.3735714286,2467.14285714286,19.202,106.749,1865.588,58.5,45436.686,1.38,29,9.96285714285714,73
"Austria",64,0.0179497069085954,55069.3001428571,2809.28571428571,19.202,106.749,2071.71971428571,58.5,45436.686,1.38,29,12.7728571428571,73
"Austria",65,0.017595403703665,57417.8362857143,3116,19.202,106.749,2289.183,58.5,45436.686,1.38,29,15.4942857142857,73
"Austria",66,0.0171979441152765,59932.6668571429,3314.14285714286,19.202,106.749,2532.50585714286,58.5,45436.686,1.38,29,18.3057142857143,73
"Austria",67,0.0169148548375969,62277.8881428571,2760.28571428571,19.202,106.749,2764.70785714286,58.5,45436.686,1.38,29,20.8242857142857,73
"Austria",68,0.0167757447225529,64314.2494285714,2567,19.202,106.749,2999.14985714286,58.5,45436.686,1.38,29,24.8042857142857,73
"Austria",69,0.0166713688923145,66139.6024285714,2230.14285714286,19.202,106.749,3229.31285714286,58.5,45436.686,1.38,29,28.9057142857143,73
"Austria",70,0.0165550056768611,67804.482,2035,19.202,106.749,3432.01928571429,58.5,45436.686,1.38,29,32.77,73
"Austria",71,0.0164745420893629,69204.5024285714,1535,19.202,106.749,3629.82557142857,58.5,45436.686,1.38,29,36.8742857142857,73
"Austria",72,0.0164541091568604,70163.725,1058.42857142857,19.202,106.749,3864.21914285714,58.5,45436.686,1.38,29,41.8885714285714,73
"Austria",73,0.0164466682238345,70802.017,674.714285714286,19.202,106.749,4073.07614285714,58.5,45436.686,1.38,29,46.6857142857143,73
"Azerbaijan",56,0.0132395841124991,22415.335,322,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,0,70
"Azerbaijan",59,0.0136610366112318,22785.089,115,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,0.64,70
"Azerbaijan",62,0.0137299400188174,23177.1815,222,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,3.11,70
"Azerbaijan",63,0.0136932460088624,23454.1763333333,473.333333333333,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,4.2,70
"Azerbaijan",64,0.0136672460160293,23635.914,637.333333333333,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,4.43,70
"Azerbaijan",65,0.0136013686911891,24212.029,1187,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,4.76,70
"Azerbaijan",66,0.0136228522536888,25477.4675,2003.5,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,6.74,70
"Azerbaijan",67,0.0136297285124257,26862.9774285714,2174.28571428571,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,9.56428571428571,70
"Azerbaijan",68,0.0137129094564334,28373.8074285714,2147.14285714286,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,11.76,70
"Azerbaijan",69,0.0138080245845381,29799.4657142857,1967,6.018,119.309,NA,34.2,15847.419,-1.5,19.9,13.2442857142857,70
