location,ArrivalDate,Date,Week_Number,Now,CovidWeek
Monaco,2/29/2020,457,9,79,70
Azerbaijan,2/28/2020,458,9,79,70
Belarus,2/28/2020,458,9,79,70
Iceland,2/28/2020,458,9,79,70
Lithuania,2/28/2020,458,9,79,70
Mexico,2/28/2020,458,9,79,70
New Zealand,2/28/2020,458,9,79,70
Denmark,2/27/2020,459,9,79,70
Estonia,2/27/2020,459,9,79,70
Netherlands,2/27/2020,459,9,79,70
Nigeria,2/27/2020,459,9,79,70
Qatar,2/27/2020,459,9,79,70
San Marino,2/27/2020,459,9,79,70
Brazil,2/26/2020,460,9,79,70
Greece,2/26/2020,460,9,79,70
Macedonia,2/26/2020,460,9,79,70
Norway,2/26/2020,460,9,79,70
Pakistan,2/26/2020,460,9,79,70
Romania,2/26/2020,460,9,79,70
Croatia,2/25/2020,461,9,79,70
Switzerland,2/25/2020,461,9,79,70
Afghanistan,2/24/2020,462,9,79,70
Cuba,2/24/2020,462,9,79,70
Oman,2/24/2020,462,9,79,70
Iraq,2/22/2020,464,8,79,71
Bahrain,2/21/2020,465,8,79,71
Israel,2/21/2020,465,8,79,71
Lebanon,2/21/2020,465,8,79,71
Mauritius,2/21/2020,465,8,79,71
Iran,2/19/2020,467,8,79,71
Algeria,2/17/2020,469,8,79,71
Ecuador,2/14/2020,472,7,79,72
Egypt,2/14/2020,472,7,79,72
Austria,2/8/2020,478,6,79,73
Kuwait,2/4/2020,482,6,79,73
Belgium,2/3/2020,483,6,79,73
Italy,1/31/2020,486,5,79,74
Russia,1/31/2020,486,5,79,74
Spain,1/31/2020,486,5,79,74
United Kingdom,1/31/2020,486,5,79,74
India,1/30/2020,487,5,79,74
Philippines,1/30/2020,487,5,79,74
United Arab Emirates,1/29/2020,488,5,79,74
Finland,1/28/2020,489,5,79,74
Cambodia,1/27/2020,490,5,79,74
Germany,1/27/2020,490,5,79,74
Sri Lanka,1/27/2020,490,5,79,74
Australia,1/25/2020,492,4,79,75
Malaysia,1/25/2020,492,4,79,75
France,1/24/2020,493,4,79,75
Sweden,1/24/2020,493,4,79,75
Singapore,1/23/2020,494,4,79,75
Vietnam,1/23/2020,494,4,79,75
Canada,1/22/2020,495,4,79,75
Taiwan,1/21/2020,496,4,79,75
South Korea,1/20/2020,497,4,79,75
Japan,1/16/2020,501,3,79,76
Thailand,1/13/2020,504,3,79,76
United States,1/13/2020,504,3,79,76
Nepal,1/9/2020,508,2,79,77
China,1/1/2020,516,1,79,78
