"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"35",756,"Bahrain",8,NA,6.864,11.5,2.372,1935.907,NA,43290.705,NA,39.4,-1.41,"BHR","Asia",29.8,0
"36",782,"Bahrain",9,NA,23.533,3.714285714,2.372,1935.907,NA,43290.705,NA,39.4,-1.41,"BHR","Asia",29.8,0
"37",768,"Bahrain",10,NA,44.288,8.714285714,2.372,1935.907,3.995,43290.705,NA,39.4,-1.41,"BHR","Asia",29.8,0
"45",1048,"Belgium",5,NA,0.086,1,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"46",994,"Belgium",6,NA,0.086,0,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"47",1029,"Belgium",7,NA,0.086,0,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"48",1000,"Belgium",8,NA,0.086,0,18.571,375.564,NA,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"49",1011,"Belgium",9,NA,0.331714286,1.714285714,18.571,375.564,0.040666667,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"50",1022,"Belgium",10,NA,12.98071429,36.28571429,18.571,375.564,0.332285714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"127",1869,"Canada",4,NA,0.035,0.666666667,16.984,4.037,NA,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"128",1881,"Canada",5,NA,0.090142857,0.285714286,16.984,4.037,0,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"129",1852,"Canada",6,NA,0.168857143,0.428571429,16.984,4.037,0.002,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"130",1865,"Canada",7,NA,0.191428571,0.142857143,16.984,4.037,0.003,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"131",1904,"Canada",8,NA,0.243714286,0.571428571,16.984,4.037,0.005333333,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"132",1923,"Canada",9,NA,0.589285714,3.571428571,16.984,4.037,0.0134,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"148",2153,"Chile",8,NA,0.104,0.666666667,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"149",2163,"Chile",9,NA,0.267428571,1.142857143,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"150",2106,"Chile",10,NA,0.847714286,2.142857143,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"151",2093,"Chile",11,NA,5.383428571,29,11.087,24.282,NA,22767.037,NA,58.3,1.05,"CHL","South America",28,0
"167",2872,"Denmark",5,NA,NA,NA,19.677,136.52,0,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"168",2829,"Denmark",6,NA,NA,NA,19.677,136.52,NA,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"169",2883,"Denmark",7,NA,NA,NA,19.677,136.52,0.000666667,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"170",2808,"Denmark",8,NA,NA,NA,19.677,136.52,0.00175,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"171",2819,"Denmark",9,NA,0.544666667,1,19.677,136.52,0.048571429,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"172",2873,"Denmark",10,NA,11.37771429,36.85714286,19.677,136.52,0.206,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"248",3713,"France",4,NA,0.0442,0.8,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"249",3751,"France",5,NA,0.082571429,0.285714286,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"250",3708,"France",6,NA,0.131285714,0.714285714,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"305",5137,"Ireland",9,NA,0.251,0.5,13.928,69.874,NA,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"306",5099,"Ireland",10,NA,3.497428571,4.571428571,13.928,69.874,NA,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"307",5140,"Israel",8,NA,0.114,0.2,11.733,402.606,0.014833333,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"308",5177,"Israel",9,NA,0.829,2,11.733,402.606,0.102428571,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"309",5138,"Israel",10,NA,5.265857143,10.42857143,11.733,402.606,0.287142857,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"310",5139,"Israel",11,NA,18.10542857,29.57142857,11.733,402.606,0.764714286,33132.32,NA,47.3,0.65,"ISR","Asia",26.1,0
"311",5259,"Italy",5,NA,0.033,0.4,23.021,205.859,NA,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"312",5270,"Italy",6,NA,0.045142857,0.142857143,23.021,205.859,NA,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"313",5281,"Italy",7,NA,0.05,0,23.021,205.859,NA,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"458",7051,"Mongolia",10,NA,0.3,1,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"459",7048,"Mongolia",11,NA,0.471714286,0.571428571,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"460",7049,"Mongolia",12,NA,2.488857143,0.714285714,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"461",7050,"Mongolia",13,NA,3.432571429,0.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"462",7055,"Mongolia",14,NA,4.290714286,0.428571429,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"463",7052,"Mongolia",15,NA,5.449571429,2.142857143,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"464",7053,"Mongolia",16,NA,9.525714286,0.571428571,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"465",7054,"Mongolia",17,NA,11.11371429,0.571428571,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"466",7096,"Mongolia",18,NA,11.71428571,0.428571429,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"467",7056,"Mongolia",19,NA,12.52928571,0.142857143,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"468",7057,"Mongolia",20,NA,33.85542857,14,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"469",7058,"Mongolia",21,NA,42.26528571,0.142857143,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"470",7059,"Mongolia",22,NA,52.17771429,6.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"471",7060,"Mongolia",23,NA,57.32685714,1.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"472",7061,"Mongolia",24,NA,59.04328571,0.428571429,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"473",7062,"Mongolia",25,NA,62.56142857,2.571428571,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"474",7063,"Mongolia",26,NA,65.77985714,0.714285714,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"475",7064,"Mongolia",27,NA,66.595,1,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"476",7065,"Mongolia",28,NA,70.58585714,4.857142857,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"477",7066,"Mongolia",29,NA,84.01657143,3.714285714,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"478",7067,"Mongolia",30,NA,86.63385714,0.571428571,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"479",7068,"Mongolia",31,NA,87.74942857,0.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"480",7069,"Mongolia",32,NA,88.007,0,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"481",7071,"Mongolia",33,NA,89.423,0.714285714,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"482",7072,"Mongolia",34,NA,89.59485714,0.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"483",7073,"Mongolia",35,NA,90.75328571,0.857142857,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"484",7074,"Mongolia",36,NA,92.94142857,0.571428571,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"485",7075,"Mongolia",37,NA,93.371,0.142857143,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"486",7076,"Mongolia",38,NA,93.67114286,0.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"487",7077,"Mongolia",39,NA,94.014,0,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"488",7078,"Mongolia",40,NA,94.22871429,0.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"489",7079,"Mongolia",41,NA,95.17285714,0.714285714,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"490",7080,"Mongolia",42,NA,96.84628571,1,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"491",7081,"Mongolia",43,NA,100.4507143,1.857142857,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"492",7082,"Mongolia",44,NA,103.9691429,1.714285714,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"493",7083,"Mongolia",45,NA,108.7748571,4.285714286,4.031,1.98,NA,11840.846,NA,49.5,0.26," "," ",20.6,0
"494",7084,"Mongolia",46,NA,127.9552857,10.42857143,4.031,1.98,29.42314286,11840.846,NA,49.5,0.26," "," ",20.6,0
"495",7085,"Mongolia",47,NA,182.6648571,34.85714286,4.031,1.98,33.15814286,11840.846,NA,49.5,0.26," "," ",20.6,0
"496",7086,"Mongolia",48,NA,231.6241429,16.14285714,4.031,1.98,46.256,11840.846,NA,49.5,0.26," "," ",20.6,0
"497",7087,"Mongolia",49,NA,257.8418571,11.57142857,4.031,1.98,77.02985714,11840.846,NA,49.5,0.26," "," ",20.6,0
"498",7088,"Mongolia",50,NA,273.0318571,3.571428571,4.031,1.98,119.8381429,11840.846,NA,49.5,0.26," "," ",20.6,0
"499",7089,"Mongolia",51,NA,293.4997143,20.71428571,4.031,1.98,144.5457143,11840.846,NA,49.5,0.26," "," ",20.6,0
"546",7605,"Netherlands",9,NA,0.582166667,4,18.779,508.544,NA,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"556",7989,"Norway",8,NA,NA,NA,16.821,14.462,NA,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"557",7999,"Norway",9,NA,2.587571429,4.571428571,16.821,14.462,NA,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"558",7932,"Norway",10,NA,30.816,52.57142857,16.821,14.462,NA,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"603",8731,"Portugal",1,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"604",8748,"Portugal",3,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"605",8759,"Portugal",4,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"606",8770,"Portugal",5,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"607",8781,"Portugal",6,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"608",8792,"Portugal",7,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"609",8803,"Portugal",8,NA,NA,NA,21.502,112.371,NA,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"610",8813,"Portugal",9,NA,0.197,1,21.502,112.371,0.007333333,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"611",8728,"Portugal",10,NA,2.065285714,5.571428571,21.502,112.371,0.046571429,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"612",8893,"Qatar",9,NA,1.1945,1.75,1.307,227.322,NA,116935.6,NA,41.2,-1.2,"QAT","Asia",35.1,0
"613",8815,"Qatar",10,NA,4.338714286,2.428571429,1.307,227.322,NA,116935.6,NA,41.2,-1.2,"QAT","Asia",35.1,0
"614",8816,"Qatar",11,NA,119.9201429,59.28571429,1.307,227.322,2.5232,116935.6,NA,41.2,-1.2,"QAT","Asia",35.1,0
"615",8817,"Qatar",12,NA,164.9632857,12.42857143,1.307,227.322,3.527,116935.6,NA,41.2,-1.2,"QAT","Asia",35.1,0
"652",9482,"Singapore",4,NA,0.650166667,1.166666667,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"653",9493,"Singapore",5,NA,2.568142857,2.428571429,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"654",9504,"Singapore",6,NA,6.080714286,3.285714286,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"655",9515,"Singapore",7,NA,11.62871429,4.857142857,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"656",9537,"Singapore",8,NA,14.70542857,1.428571429,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"657",9536,"Singapore",9,NA,17.08,2.714285714,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"658",9456,"Singapore",10,NA,23.13657143,7.142857143,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"659",9453,"Singapore",11,NA,36.41257143,15.14285714,12.922,7915.731,NA,85535.383,NA,58.7,-0.06,"SGP","Asia",6.1,0
"692",10062,"Spain",5,NA,0.021,0.25,19.436,93.105,NA,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"693",10073,"Spain",6,NA,0.030428571,0.142857143,19.436,93.105,NA,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"694",10084,"Spain",7,NA,0.043,0,19.436,93.105,NA,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"695",10095,"Spain",8,NA,0.055142857,0.571428571,19.436,93.105,NA,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"809",11423,"United Arab Emirates",5,NA,0.442857143,0.714285714,1.144,112.442,0.017,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"810",11434,"United Arab Emirates",6,NA,0.643428571,0.428571429,1.144,112.442,0.188333333,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"811",11445,"United Arab Emirates",7,NA,0.843857143,0.142857143,1.144,112.442,0.489666667,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"812",11456,"United Arab Emirates",8,NA,1.129571429,0.571428571,1.144,112.442,1.095,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"813",11466,"United Arab Emirates",9,NA,1.930285714,2,1.144,112.442,2.077666667,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"814",11383,"United Arab Emirates",10,NA,4.203857143,6.714285714,1.144,112.442,5.2596,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"815",11384,"United Arab Emirates",11,NA,8.908285714,3.428571429,1.144,112.442,8.708,67293.483,NA,46.7,-1.11,"ARE","Asia",31.7,0
"816",11507,"United Kingdom",5,NA,0.0642,1.6,18.517,272.898,NA,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"817",11518,"United Kingdom",6,NA,0.173857143,1,18.517,272.898,NA,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"818",11529,"United Kingdom",7,NA,0.262,0.571428571,18.517,272.898,NA,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"819",11540,"United Kingdom",8,NA,0.377,2.142857143,18.517,272.898,NA,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"820",11550,"United Kingdom",9,NA,1.288,22.14285714,18.517,272.898,NA,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"826",11636,"Uruguay",11,NA,5.5666,10,14.655,19.751,NA,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"827",11637,"Uruguay",12,NA,37.998,19.85714286,14.655,19.751,NA,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"965",3731,"France",15,0.184736578,1207.390429,11712.28571,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"975",1019,"Belgium",20,0.163707853,4722.452429,287.4285714,18.571,375.564,61.24485714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"976",1018,"Belgium",19,0.163389885,4508.578286,467.1428571,18.571,375.564,50.45571429,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"977",1020,"Belgium",21,0.162828017,4880.828571,237.7142857,18.571,375.564,69.23485714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"978",1021,"Belgium",22,0.162311323,5000.851429,165.7142857,18.571,375.564,76.497,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"979",1052,"Belgium",23,0.162142204,5077.497429,117.4285714,18.571,375.564,83.13342857,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"980",1055,"Belgium",24,0.16107872,5149.451714,102.5714286,18.571,375.564,90.62314286,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"981",1025,"Belgium",25,0.160212075,5201.363714,93.57142857,18.571,375.564,98.264,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"982",1039,"Belgium",26,0.159052012,5260.005857,88.14285714,18.571,375.564,106.3735714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"983",1040,"Belgium",27,0.157971333,5315.282714,90.14285714,18.571,375.564,113.7511429,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"984",1017,"Belgium",18,0.157240235,4244.437571,453.5714286,18.571,375.564,38.288,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"985",985,"Belgium",28,0.156552698,5371.161429,103.2857143,18.571,375.564,120.5135714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"987",3737,"France",21,0.154067609,2725.568429,313,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"988",990,"Belgium",29,0.154019334,5469.643,211,18.571,375.564,127.8365714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"989",3736,"France",20,0.152810007,2684.929857,453.7142857,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"990",1016,"Belgium",17,0.152507533,3861.883143,911.1428571,18.571,375.564,26.35185714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"991",3738,"France",22,0.151837005,2803.999857,842.2857143,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"992",3739,"France",23,0.151587546,2846.052857,493.5714286,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"993",11474,"United Kingdom",17,0.150370518,2275.219286,4617.428571,18.517,272.898,8.618428571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"994",3740,"France",24,0.149822841,2905.143714,496.5714286,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"995",987,"Belgium",30,0.149596169,5643.333857,343.4285714,18.571,375.564,136.0901429,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"997",11475,"United Kingdom",18,0.149373004,2727.803,4060.428571,18.517,272.898,11.48457143,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"998",11476,"United Kingdom",19,0.148452218,3075.374429,3159.285714,18.517,272.898,14.65128571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"999",3741,"France",25,0.148303569,2958.079429,523.4285714,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1001",3735,"France",19,0.147984985,2634.165571,1036.142857,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1003",11477,"United Kingdom",20,0.146703134,3362.983857,2567.428571,18.517,272.898,17.80371429,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1004",3742,"France",26,0.146690508,3005.253714,416.2857143,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1006",11479,"United Kingdom",22,0.145712064,3759.092571,1449.142857,18.517,272.898,24.494,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1007",3734,"France",18,0.145690895,2515.977571,445.8571429,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1008",11480,"United Kingdom",23,0.145564104,3883.694143,1066,18.517,272.898,28.16542857,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1009",11478,"United Kingdom",21,0.145312037,3597.371,1920.285714,18.517,272.898,21.14271429,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1010",5274,"Italy",25,0.145114885,3948.022714,190.4285714,23.021,205.859,81.618,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1011",11473,"United Kingdom",16,0.145000424,1789.285571,4810,18.517,272.898,6.535285714,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1012",5232,"Italy",24,0.144826719,3920.370429,277,23.021,205.859,75.41685714,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1013",11481,"United Kingdom",24,0.144723815,3988.140714,1008,18.517,272.898,32.12928571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1014",3743,"France",27,0.144687889,3058.517143,558.5714286,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1016",5234,"Italy",26,0.144593776,3976.921857,249.2857143,23.021,205.859,87.10942857,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1017",5235,"Italy",27,0.1443575,3998.629429,196.8571429,23.021,205.859,92.51957143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1018",5231,"Italy",23,0.144134139,3888.134714,292.2857143,23.021,205.859,69.02857143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1019",5236,"Italy",28,0.143931853,4022.064571,198.2857143,23.021,205.859,97.55057143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1020",5237,"Italy",29,0.143491369,4044.834571,201.1428571,23.021,205.859,102.5128571,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1021",5230,"Italy",22,0.143289128,3851.393286,422.8571429,23.021,205.859,62.99857143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1022",11482,"United Kingdom",25,0.143225321,4084.266,866.7142857,18.517,272.898,36.26642857,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1023",1015,"Belgium",16,0.143020225,3207.045857,1405.285714,18.571,375.564,17.84885714,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"1026",5238,"Italy",30,0.142798576,4072.003714,248,23.021,205.859,107.7665714,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1027",5229,"Italy",21,0.142638989,3795.625143,550.8571429,23.021,205.859,55.83485714,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1028",3744,"France",28,0.142603351,3114.561429,533.2857143,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1029",988,"Belgium",31,0.142321125,5947.768429,569.4285714,18.571,375.564,148.2198571,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"1030",3730,"France",14,0.142279955,792.2278571,-698,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1031",11483,"United Kingdom",26,0.142246868,4158.516857,596.8571429,18.517,272.898,40.799,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1032",11484,"United Kingdom",27,0.142047771,4199.096857,379.7142857,18.517,272.898,45.43528571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1033",5239,"Italy",31,0.141889858,4103.489571,275.8571429,23.021,205.859,113.522,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1034",5228,"Italy",20,0.141185674,3719.754143,783.2857143,23.021,205.859,48.54671429,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1035",11485,"United Kingdom",28,0.140829151,4259.344143,722.4285714,18.517,272.898,50.82042857,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1037",5240,"Italy",32,0.140755894,4142.472,402.5714286,23.021,205.859,119.1627143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1038",3745,"France",29,0.140643919,3173.552857,685.2857143,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1042",5241,"Italy",33,0.139473982,4195.686714,485.5714286,23.021,205.859,124.3954286,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1044",5227,"Italy",19,0.13922633,3610.904143,1171.857143,23.021,205.859,41.40785714,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1045",11486,"United Kingdom",29,0.138957573,4332.834714,636.8571429,18.517,272.898,61.75328571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1046",3733,"France",17,0.138901961,2399.800286,1718.571429,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1052",5242,"Italy",34,0.137226256,4277.171,934,23.021,205.859,131.3235714,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1053",11487,"United Kingdom",30,0.137170014,4401.388571,696,18.517,272.898,74.25328571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1054",3746,"France",30,0.137097111,3260.376,912.5714286,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1056",5226,"Italy",18,0.136751991,3458.527714,1644,23.021,205.859,34.65457143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1061",11488,"United Kingdom",31,0.135108757,4479.662714,809.2857143,18.517,272.898,87.62028571,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1063",5225,"Italy",17,0.134836768,3228.415571,2506.857143,23.021,205.859,28.013,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1066",989,"Belgium",32,0.134686572,6301.88,622.8571429,18.571,375.564,160.6028571,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"1070",5243,"Italy",35,0.13306027,4416.692714,1287.857143,23.021,205.859,140.5917143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1071",3747,"France",31,0.132896981,3371.654143,1223.428571,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"1073",11489,"United Kingdom",32,0.132732551,4568.633286,945.1428571,18.517,272.898,102.4714286,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1074",5224,"Italy",16,0.132209648,2902.727,3067,23.021,205.859,21.41742857,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"1081",11490,"United Kingdom",33,0.129905044,4677.593429,1090.714286,18.517,272.898,118.5882857,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"1088",7535,"Netherlands",20,0.128842175,2562.355429,180.8571429,18.779,508.544,17.49,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"1089",5244,"Italy",36,0.128748247,4571.951286,1423.428571,23.021,205.859,150.9397143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
