"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"5221",2119,"Chile",63,0.02458267,44746.30886,4770.428571,11.087,24.282,507.8297143,22767.037,26.92571429,58.3,1.05,"CHL","South America",28,26.92571429
"5231",5060,"Ireland",53,0.024532015,18256.0205,1670,13.928,69.874,473.9915,67335.293,0.04,59,1.32,"IRL","Europe",25.3,0.04
"5234",1927,"Canada",64,0.024505368,24114.70357,3292.285714,16.984,4.037,682.2794286,44017.591,8.327142857,75.3,1.52,"CAN","North America",29.4,8.327142857
"5243",2834,"Denmark",39,0.024454108,4559.936,525.7142857,19.677,136.52,635.9081429,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"5260",1031,"Belgium",71,0.024377594,85804.64457,2948.857143,18.571,375.564,1095.696143,42658.576,35.67714286,61,1.4,"BEL","Europe",22.1,35.67714286
"5283",8761,"Portugal",41,0.024308959,8387.581857,1258.428571,21.502,112.371,282.1565714,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"5293",2098,"Chile",64,0.024258922,46611.86386,5422.428571,11.087,24.282,528.9778571,22767.037,37.40571429,58.3,1.05,"CHL","South America",28,37.40571429
"5303",3692,"France",53,0.024228336,39483.291,23258,19.718,122.578,NA,38605.671,0,68.2,1.18,"FRA","Europe",21.6,0
"5325",3689,"France",52,0.024142102,38537.973,11932.28571,19.718,122.578,NA,38605.671,0,68.2,1.18,"FRA","Europe",21.6,0
"5332",11663,"Uruguay",38,0.024130895,545.3341429,15.28571429,14.655,19.751,60.79466667,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"5334",1032,"Belgium",72,0.024124695,87566.39657,2744.142857,18.571,375.564,1126.728,42658.576,41.68857143,61,1.4,"BEL","Europe",22.1,41.68857143
"5339",3693,"France",54,0.024105375,40413.06871,15312.14286,19.718,122.578,NA,38605.671,0.017142857,68.2,1.18,"FRA","Europe",21.6,0.017142857
"5342",3688,"France",51,0.024096465,37167.78729,14300,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"5355",1931,"Canada",65,0.024060148,24791.83129,4091.142857,16.984,4.037,700.9104286,44017.591,10.82571429,75.3,1.52,"CAN","North America",29.4,10.82571429
"5372",3690,"France",55,0.023974258,42240.11271,17831.57143,19.718,122.578,NA,38605.671,0.264285714,68.2,1.18,"FRA","Europe",21.6,0.264285714
"5385",3725,"France",50,0.023933677,35770.16971,11776.14286,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"5390",1033,"Belgium",73,0.023914982,88889.26086,2176.142857,18.571,375.564,1152.890714,42658.576,47.40857143,61,1.4,"BEL","Europe",22.1,47.40857143
"5412",2095,"Chile",65,0.023819809,48768.89014,6196.285714,11.087,24.282,552.592,22767.037,46.01571429,58.3,1.05,"CHL","South America",28,46.01571429
"5422",3691,"France",56,0.023790752,44173.89314,19522.42857,19.718,122.578,NA,38605.671,0.902857143,68.2,1.18,"FRA","Europe",21.6,0.902857143
"5426",1871,"Canada",14,0.023775447,390.5237143,1373.142857,16.984,4.037,6.178428571,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"5436",11664,"Uruguay",39,0.023708801,570.6248571,14.14285714,14.655,19.751,65.40214286,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"5445",1034,"Belgium",74,0.023674594,90257.22129,1976.714286,18.571,375.564,1181.772571,42658.576,53.51285714,61,1.4,"BEL","Europe",22.1,53.51285714
"5459",3705,"France",57,0.023596859,46274.69771,20436.42857,19.718,122.578,NA,38605.671,1.865714286,68.2,1.18,"FRA","Europe",21.6,1.865714286
"5463",3750,"France",49,0.023589534,34540.71957,11401.71429,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"5475",7925,"Norway",16,0.023532726,1281.619714,81.14285714,16.821,14.462,7.951571429,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"5480",3763,"France",58,0.023502349,48355.31829,17252.42857,19.718,122.578,NA,38605.671,2.721428571,68.2,1.18,"FRA","Europe",21.6,2.721428571
"5481",11543,"United Kingdom",82,0.023491152,80569.71043,46492.71429,18.517,272.898,3081.816286,39753.244,121.1257143,77.9,1.38,"GBR","Europe",27.8,121.1257143
"5482",1035,"Belgium",75,0.023487866,91330.16643,1630.571429,18.571,375.564,1209.248286,42658.576,59.48,61,1.4,"BEL","Europe",22.1,59.48
"5491",1902,"Canada",66,0.023446886,25667.16186,5499.142857,16.984,4.037,721.0277143,44017.591,13.97571429,75.3,1.52,"CAN","North America",29.4,13.97571429
"5498",3707,"France",59,0.023396269,50446.57,22251.14286,19.718,122.578,NA,38605.671,3.634285714,68.2,1.18,"FRA","Europe",21.6,3.634285714
"5505",1036,"Belgium",76,0.023371359,92108.89486,1035.285714,18.571,375.564,1235.389286,42658.576,67.63285714,61,1.4,"BEL","Europe",22.1,67.63285714
"5513",2096,"Chile",66,0.023340634,51175.36171,6937.571429,11.087,24.282,577.1607143,22767.037,52.39428571,58.3,1.05,"CHL","South America",28,52.39428571
"5516",8000,"Norway",36,0.023336441,2070.419143,107.4285714,16.821,14.462,154.6472857,64800.057,NA,64.6,1.73,"NOR","Europe",23.1,0
"5520",3709,"France",60,0.023318315,52365.08671,18596.42857,19.718,122.578,NA,38605.671,4.798571429,68.2,1.18,"FRA","Europe",21.6,4.798571429
"5522",1037,"Belgium",77,0.023307486,92559.31414,578.1428571,18.571,375.564,1259.267286,42658.576,76.77,61,1.4,"BEL","Europe",22.1,76.77
"5527",998,"Belgium",78,0.023278469,92837.20957,522.4285714,18.571,375.564,1282.735286,42658.576,85.28142857,61,1.4,"BEL","Europe",22.1,85.28142857
"5539",999,"Belgium",79,0.023221756,93169.75557,568.1428571,18.571,375.564,1310.543429,42658.576,92.94714286,61,1.4,"BEL","Europe",22.1,92.94714286
"5562",1001,"Belgium",80,0.023138927,93588.44071,941.7142857,18.571,375.564,1348.384286,42658.576,99.32142857,61,1.4,"BEL","Europe",22.1,99.32142857
"5564",10069,"Spain",56,0.023133519,49913.98371,34958.28571,19.436,93.105,566.273,34272.36,2.036,65.9,1.06,"ESP","Europe",23.8,2.036
"5578",3762,"France",48,0.023071874,33427.834,11074.28571,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"5580",3710,"France",61,0.02306487,54453.04429,21476,19.718,122.578,NA,38605.671,5.99,68.2,1.18,"FRA","Europe",21.6,5.99
"5588",11642,"Uruguay",17,0.02302175,168.7157143,11.71428571,14.655,19.751,4.529285714,20551.409,NA,41.3,1.21,"URY","South America",27.9,0
"5589",10080,"Spain",66,0.023004587,69948.68743,6236.571429,19.436,93.105,792.633,34272.36,16.582,65.9,1.06,"ESP","Europe",23.8,16.582
"5596",1002,"Belgium",81,0.022974227,94307.88814,1370.285714,18.571,375.564,1385.955,42658.576,106.7571429,61,1.4,"BEL","Europe",22.1,106.7571429
