,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,GHSI,WGI,continent,Obesity_rate,id,lw,vml,vml2,TTs,TTs2,GDP2,PopulationDensity2,PopulationDensity22,GHSI2,WGI2,Age65Older2,Age65Older22,Obesity_rate2,Obesity_rate22,CFR2
20,Afghanistan,76,0.039550782,2080.467286,1539,2.581,54.422,NA,1803.987,1.65,32.3,-0.99,Asia,5.5,20,4.33073334,1.65,-0.668449555,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,3.95508E-06
21,Afghanistan,77,0.039324985,2351.815714,1519.857143,2.581,54.422,NA,1803.987,1.7,32.3,-0.99,Asia,5.5,21,4.343805422,1.7,-0.66688645,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,3.9325E-06
22,Afghanistan,57,0.043575706,1404.793714,69.71428571,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,22,4.043051268,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.35757E-06
23,Afghanistan,58,0.043628055,1414.889,48.57142857,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,23,4.060443011,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.36281E-06
24,Afghanistan,59,0.043585047,1422.008429,27,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,24,4.077537444,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.3585E-06
25,Afghanistan,71,0.043777061,1550.937571,226.5714286,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,25,4.262679877,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.37771E-06
26,Afghanistan,84,0.045569638,3763.916,263.5,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,26,4.430816799,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.55696E-06
27,Afghanistan,73,0.043092942,1638.046429,218.5714286,2.581,54.422,NA,1803.987,1.41,32.3,-0.99,Asia,5.5,27,4.290459441,1.41,-0.675952461,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.30929E-06
28,Afghanistan,69,0.043951224,1488.401571,111.1428571,2.581,54.422,NA,1803.987,0.62,32.3,-0.99,Asia,5.5,28,4.234106505,0.62,-0.700649526,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.39512E-06
29,Afghanistan,70,0.043885395,1516.709857,180.5714286,2.581,54.422,NA,1803.987,NA,32.3,-0.99,Asia,5.5,29,4.248495242,NA,NA,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.38854E-06
30,Afghanistan,83,0.044752916,3710.693429,401.8571429,2.581,54.422,NA,1803.987,3.28,32.3,-0.99,Asia,5.5,30,4.418840608,3.28,-0.617492318,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.47529E-06
31,Afghanistan,82,0.043755237,3607.577286,761.4285714,2.581,54.422,NA,1803.987,2.81,32.3,-0.99,Asia,5.5,31,4.406719247,2.81,-0.632185509,NA,NA,-0.846446623,0.054422,-0.207036687,-0.716104249,-0.796291188,0.0002581,-0.945030151,0.00055,-1.334050587,4.37552E-06
32,Albania,63,0.017204176,39432.25486,703,13.188,104.871,163.1761429,11803.431,0.75,52.9,0.21,Europe,21.7,32,4.143134726,0.75,-0.696585452,0.163176143,-0.414570775,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.72042E-06
33,Albania,64,0.017479324,40973.41229,583.7142857,13.188,104.871,170.839,11803.431,0.99,52.9,0.21,Europe,21.7,33,4.158883083,0.99,-0.689082546,0.170839,-0.406780956,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.74793E-06
34,Albania,65,0.017698791,42205.65314,462.7142857,13.188,104.871,177.975,11803.431,1.855,52.9,0.21,Europe,21.7,34,4.17438727,1.855,-0.662040823,0.177975,-0.399526725,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.76988E-06
35,Albania,59,0.017062135,30027.60043,1111.857143,13.188,104.871,129.421,11803.431,0.04,52.9,0.21,Europe,21.7,35,4.077537444,0.04,-0.718781549,0.129421,-0.448885185,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.70621E-06
36,Albania,56,0.018791288,23690.96443,560.2857143,13.188,104.871,104.4055714,11803.431,0.015714286,52.9,0.21,Europe,21.7,36,4.025351691,0.015714286,-0.719540772,0.104405571,-0.474315078,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.87913E-06
37,Albania,57,0.018154454,25361.33743,791.1428571,13.188,104.871,111.929,11803.431,NA,52.9,0.21,Europe,21.7,37,4.043051268,NA,NA,0.111929,-0.466666999,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.81545E-06
38,Albania,62,0.016820362,37506.82557,886.8571429,13.188,104.871,155.3818571,11803.431,0.525,52.9,0.21,Europe,21.7,38,4.127134385,0.525,-0.703619427,0.155381857,-0.422494199,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.68204E-06
39,Albania,78,0.018525108,46039.33586,2.571428571,13.188,104.871,NA,11803.431,31.33,52.9,0.21,Europe,21.7,39,4.356708827,31.33,0.259409818,NA,NA,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.85251E-06
40,Albania,60,0.016737008,32612.31286,1008.857143,13.188,104.871,137.7986667,11803.431,0.085,52.9,0.21,Europe,21.7,40,4.094344562,0.085,-0.717374754,0.137798667,-0.440368714,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.6737E-06
41,Albania,61,0.016632785,35168.13443,1067.857143,13.188,104.871,146.52,11803.431,0.243333333,52.9,0.21,Europe,21.7,41,4.110873864,0.243333333,-0.712424921,0.14652,-0.431502882,-0.323572787,0.104871,-0.132266269,0.697981979,0.394349926,0.0013188,0.7117469,0.00217,0.432989337,1.66328E-06
